,Date,Host,Weather,R_value,Race_name,Total_horse,Bracket_number,Horse_number,Odds,Popularity,Place,Rider,Penalty,Distance,Track_condition,Race_time,Margin,Passing,Pace,Fin,Horse_weight,Loser_horse,Prize
0,2015/03/14,1阪神5,晴,8,阪神スプリングJ(J.G2),13,5,7,21.4,8,12,熊沢重文,60,障3900,稍,4:37.0,14.2,10-10-12-12,109.0-39.8,14.2,528(-12),サンレイデューク,&nbsp;
1,2015/01/17,1中京1,曇,5,障害4歳以上OP,14,5,7,2.1,1,中,西谷誠,60,障3330,稍,&nbsp;,&nbsp;,5-7-14,109.0-42.0,&nbsp;,540(+6),レッドグルーヴァー,&nbsp;
2,2014/11/24,5京都7,晴,4,障害3歳以上未勝利,14,1,1,2.5,1,1,西谷誠,60,障2910,良,3:14.5,-0.4,1-1-1-1,106.0-38.5,13.4,534(+11),(タマモプラネット),700.0
3,2014/11/03,盛岡,曇,9,JBCスプリント(G1),16,7,14,386.9,8,6,国分優作,57,ダ1200,重,1:10.0,1.0,6-8,&nbsp;,35.8,523(-8),ドリームバレンチノ,&nbsp;
4,2014/04/02,大井,曇,11,東京スプリント競走(G3),16,6,12,70.3,8,10,石橋脩,56,ダ1200,良,1:12.9,2.2,8-9,34.2-36.5,37.7,531(-2),ノーザンリバー,&nbsp;
5,2014/03/18,高知,曇,4,黒船賞[指定交流](G3),12,6,8,37.0,6,7,石橋脩,57,ダ1400,重,1:28.9,1.3,1-1-1-3,&nbsp;,38.9,533(-1),セイクリムズン,&nbsp;
6,2014/02/02,1東京2,晴,11,根岸S(G3),16,6,12,516.3,16,15,石橋脩,57,ダ1400,良,1:25.0,1.6,8-9,35.3-36.1,37.0,534(0),ゴールスキー,&nbsp;
7,2013/12/28,園田,晴,10,兵庫ゴールドトロフィ(G3),11,4,4,10.3,3,4,石橋脩,59,ダ1400,重,1:27.0,1.5,1-1-3-4,&nbsp;,38.7,534(0),ドリームバレンチノ,168.0
8,2013/12/08,5中山4,晴,11,カペラS(G3),16,5,9,22.1,9,12,石橋脩,57,ダ1200,良,1:11.4,0.7,3-2,34.3-36.4,36.8,534(0),ノーザンリバー,&nbsp;
9,2013/11/10,5東京4,曇,11,東京中日S杯武蔵野S(G3),16,7,14,219.6,16,15,石橋脩,57,ダ1600,良,1:37.0,1.7,2-2,34.7-36.4,38.0,534(0),ベルシャザール,&nbsp;
10,2013/10/19,4京都6,曇,11,室町S(OP),16,3,6,13.4,4,11,池添謙一,59,ダ1200,稍,1:10.5,1.0,7-6,34.0-35.5,35.6,534(-6),スリーボストン,&nbsp;
11,2013/10/02,大井,晴,10,東京盃競走(G2),15,6,10,13.2,6,4,石橋脩,56,ダ1200,不,1:11.8,0.8,6-7,34.4-36.6,36.8,540(+4),タイセイレジェンド,350.0
12,2013/06/13,門別,曇,11,北海道スプリントカッ(G3),14,7,11,3.2,2,3,石橋脩,57,ダ1200,良,1:12.7,0.5,2-2,&nbsp;,38.4,536(+2),セレスハント,330.0
13,2013/05/29,浦和,曇,11,さきたま杯(G2),12,8,11,4.3,3,5,石橋脩,56,ダ1400,良,1:28.4,1.0,4-4-3-3,36.6-38.4,39.2,534(+4),テスタマッタ,155.0
14,2013/04/29,名古屋,曇,10,かきつばた記念(G3),11,1,1,1.9,1,1,石橋脩,55,ダ1400,良,1:26.4,-0.4,2-2-2,&nbsp;,37.1,530(-3),(ダノンカモン),"2,100.0"
15,2013/04/10,大井,曇,11,東京スプリント競走(G3),16,3,5,4.0,2,4,石橋脩,56,ダ1200,良,1:12.2,0.5,5-5,34.7-37.0,37.3,533(+7),ラブミーチャン,270.0
16,2013/03/19,高知,晴,4,黒船賞[指定交流](G3),12,7,9,3.5,2,3,石橋脩,57,ダ1400,不,1:27.8,0.5,3-3-2-1,&nbsp;,38.9,526(-10),セイクリムズン,270.0
17,2012/12/26,園田,晴,10,兵庫ゴールドトロフィ(G3),12,5,6,4.5,3,1,石橋脩,58.5,ダ1400,稍,1:26.4,-0.6,1-1-1-1,&nbsp;,37.0,536(+10),(ダイショウジェット),"2,100.0"
18,2012/12/09,5中山4,晴,11,カペラS(G3),16,8,15,4.0,1,5,石橋脩,56,ダ1200,良,1:11.3,0.5,4-3,34.2-36.6,36.6,526(0),シルクフォーチュン,350.0
19,2012/10/20,4京都6,晴,11,室町S(OP),16,3,6,8.9,5,1,池添謙一,58,ダ1200,良,1:10.8,0.0,4-4,35.2-35.6,35.2,526(-2),(マルカベンチャー),"2,035.0"
