,Date,Host,Weather,R_value,Race_name,Total_horse,Bracket_number,Horse_number,Odds,Popularity,Place,Rider,Penalty,Distance,Track_condition,Race_time,Margin,Passing,Pace,Fin,Horse_weight,Loser_horse,Prize
0,2006/09/23,盛岡,晴,9,エクセレント競走,9,6,6,33.1,9,8,村松学,56,ダ1800,良,1:57.2,2.6,2-3-3-4,&nbsp;,&nbsp;,503(+21),ベルモントシーザー,&nbsp;
1,2006/08/26,水沢,晴,9,エクセレント競走,9,1,1,27.0,7,9,村松学,56,ダ1800,良,1:59.2,1.8,6-6-9-9,&nbsp;,&nbsp;,482(-15),ルーキーナカヤマ,&nbsp;
2,2006/05/07,盛岡,曇,10,シアンモア記念(G),14,1,1,27.6,7,11,村松学,57,ダ1600,稍,1:41.5,2.3,8-8,&nbsp;,&nbsp;,497(-17),エアウィード,&nbsp;
3,2006/04/16,水沢,曇,10,まんさく賞(OP),11,8,11,14.1,4,9,村松学,56,ダ1600,稍,1:44.4,1.4,4-4-5-3,&nbsp;,&nbsp;,514(+24),ローランボスコ,&nbsp;
4,2005/11/03,名古屋,曇,10,JBCスプリント(G1),12,6,7,&nbsp;,10,11,村松学,57,ダ1400,良,1:27.7,2.4,6-6-11,&nbsp;,39.2,490(-7),ブルーコンコルド,&nbsp;
5,2005/10/05,大井,雨,10,東京盃(G2),16,4,8,&nbsp;,14,4,村松学,56,ダ1200,重,1:11.5,0.3,6-5,34.3-36.9,36.6,497(-7),アグネスジェダイ,400.0
6,2005/08/15,盛岡,曇,9,クラスターC(G3),13,6,9,&nbsp;,6,5,村松学,57,ダ1200,重,1:11.6,1.0,8-7,&nbsp;,&nbsp;,504(+6),エンゲルグレーセ,300.0
7,2005/07/03,水沢,曇,10,栗駒賞(G),9,2,2,&nbsp;,5,1,村松学,57,ダ1400,重,1:26.2,0.0,5-4-4-1,&nbsp;,&nbsp;,498(+6),(ファイブビーンズ),400.0
8,2005/06/05,盛岡,晴,10,一條記念みちのく大賞(G),12,6,7,&nbsp;,4,4,村松学,57,ダ2000,良,2:07.1,1.2,7-7-9-6,&nbsp;,&nbsp;,492(-11),トニージェント,70.0
9,2005/05/22,盛岡,曇,10,あすなろ賞(OP),10,7,8,&nbsp;,4,2,村松学,57,ダ1800,良,1:55.1,0.2,3-3-3-1,&nbsp;,&nbsp;,503(-5),エアウィード,50.0
10,2005/05/05,水沢,曇,9,シアンモア記念(G),12,6,8,&nbsp;,3,6,村松学,57,ダ1600,良,1:43.9,1.0,7-5-4-5,&nbsp;,&nbsp;,508(-2),タイキシェンロン,&nbsp;
11,2005/04/02,水沢,晴,10,まんさく賞(OP),12,8,12,&nbsp;,5,2,村松学,57,ダ1600,良,1:42.2,0.8,5-5-6-4,&nbsp;,&nbsp;,510(+8),トニージェント,50.0
12,2005/01/26,川崎,曇,10,川崎記念(G1),12,4,4,&nbsp;,12,9,森下博,57,ダ2100,重,2:17.8,3.6,7-8-8-9,29.9-39.1,42.5,502(+4),タイムパラドックス,&nbsp;
13,2004/12/25,水沢,曇,9,エクセレント,10,3,3,&nbsp;,1,1,沢田盛夫,59,ダ1800,重,1:56.4,-0.3,&nbsp;,&nbsp;,&nbsp;,498(0),(エアウィード),80.0
14,2004/10/30,4京都7,雨,11,毎日放送賞スワンS(G2),18,3,5,264.4,16,16,武幸四郎,57,芝1400,良,1:23.4,1.5,15-14,34.3-36.0,35.9,498(-2),タマモホットプレイ,&nbsp;
15,2004/10/16,4京都3,晴,10,エニフS(OP),9,6,6,85.4,8,8,松永幹夫,60,ダ1800,良,1:53.1,1.8,4-4-5-5,37.4-37.0,37.9,500(+8),カイトヒルウインド,&nbsp;
