,Date,Host,Weather,R_value,Race_name,Total_horse,Bracket_number,Horse_number,Odds,Popularity,Place,Rider,Penalty,Distance,Track_condition,Race_time,Margin,Passing,Pace,Fin,Horse_weight,Loser_horse,Prize
0,1993/03/13,1阪神5,晴,9,阪神障害S(春)(G),11,4,4,26.7,8,9,岡冨俊一,60,障3150,良,3:29.2,3.0,8-8-9-9,103.0-39.4,&nbsp;,484(-2),シゲルデッドクロス,&nbsp;
1,1993/02/07,2京都4,曇,5,障害4歳以上OP,7,5,5,8.7,5,5,出津孝一,61,障3290,良,3:49.7,9.4,3-4-5-5,108.0-39.1,&nbsp;,486(+4),ドウカンホープ,128.0
2,1993/01/10,1京都4,雨,5,障害4歳以上OP,5,3,3,1.8,1,5,岡冨俊一,61,障3290,稍,3:50.7,6.0,5-5-5-5,109.0-40.6,&nbsp;,482(+2),ランドパーシァ,128.0
3,1992/12/20,5阪神6,小雨,4,障害4歳以上OP,6,6,6,5.6,2,2,出津孝一,61,障3150,良,3:29.8,0.8,1-1-2-2,104.0-39.9,&nbsp;,480(0),ロングアポロン,510.0
4,1992/11/28,5京都7,曇,9,京都大障害(秋)(G),8,6,6,5.0,2,4,岡冨俊一,62,障3270,良,3:44.7,5.2,3-4-4-4,107.0-38.9,&nbsp;,480(+6),ロングアポロン,560.0
5,1992/11/01,4京都8,晴,5,障害4歳以上OP,7,4,4,4.5,2,2,岡冨俊一,61,障3290,良,3:40.9,0.4,1-1-2-2,107.0-38.7,&nbsp;,474(-4),ロングアポロン,510.0
6,1992/10/10,4京都1,晴,5,障害4歳以上OP,5,3,3,2.4,1,1,岡冨俊一,61,障3290,良,3:44.8,-0.8,1-1-1-1,105.0-37.9,&nbsp;,478(-6),(イッキアンヘル),"1,280.0"
7,1992/05/30,3阪神3,小雨,5,障害4歳以上OP,8,6,6,5.1,3,3,岡冨俊一,61,障3150,稍,3:28.1,1.9,3-3-3-3,102.0-40.5,&nbsp;,484(+4),スガハラテンジン,320.0
8,1992/05/09,3京都5,雨,9,京都大障害(春)(G),9,1,1,9.4,3,3,岡冨俊一,61,障3270,重,3:51.2,3.5,5-6-6-6,112.0-40.5,&nbsp;,480(-2),アツムテキ,930.0
9,1992/04/05,2阪神4,曇,5,障害4歳以上OP,7,5,5,3.8,3,2,岡冨俊一,61,障3150,稍,3:30.1,0.8,1-1-1-2,105.0-39.8,&nbsp;,482(+6),ロングアポロン,510.0
10,1992/03/14,1阪神5,晴,9,阪神障害S(G),12,6,7,6.2,2,7,岡冨俊一,61,障3150,良,3:29.7,1.2,10-11-6-7,105.0-38.5,&nbsp;,476(-6),ロングアポロン,&nbsp;
11,1992/02/16,2京都6,晴,5,障害4歳以上OP,9,5,5,1.9,1,9,岡冨俊一,61,障3290,良,3:46.4,5.5,9-9-9-9,106.0-40.2,&nbsp;,482(0),ドウカンホープ,&nbsp;
12,1992/01/12,1京都4,晴,5,障害4歳以上OP,9,7,7,2.9,2,1,岡冨俊一,61,障3290,良,3:46.2,-0.2,1-1-1-1,107.0-39.1,&nbsp;,482(-4),(ブラックスペイン),"1,280.0"
13,1991/12/14,1阪神5,晴,5,障害4歳以上OP,6,5,5,5.0,3,2,岡冨俊一,61,障3150,良,3:35.4,1.1,1-1-1-1,105.0-39.1,&nbsp;,486(+6),メジロワース,510.0
14,1991/11/23,7京都7,曇,9,京都大障害(秋)(G),8,3,3,8.9,4,7,岡冨俊一,61,障3270,良,3:45.5,3.4,2-3-6-6,108.0-39.0,&nbsp;,480(+8),エーコークロス,&nbsp;
15,1991/05/25,5京都3,晴,5,障害4歳以上OP,8,3,3,4.1,2,5,岡冨俊一,61,障3290,良,3:37.3,2.2,5-6-7-5,106.0-38.1,&nbsp;,472(-4),ドウカンホープ,127.0
16,1991/05/04,4京都5,晴,9,京都大障害(春)(G),8,3,3,8.7,4,1,岡冨俊一,58,障3270,良,3:39.1,-0.3,2-2-1-1,106.0-38.8,&nbsp;,476(0),(メジロワース),"3,600.0"
17,1991/04/06,3京都5,雨,5,障害4歳以上OP,9,5,5,7.9,3,4,岡冨俊一,60,障3290,良,3:40.0,1.5,8-5-6-6,104.0-37.9,&nbsp;,476(-4),スガハラテンジン,190.0
18,1991/03/09,1中京5,曇,9,中京障害S(G),10,1,1,9.3,6,4,岡冨俊一,58,障3600,重,4:03.9,2.3,6-6-4-4,110.0-40.6,&nbsp;,480(-2),メジロワース,480.0
19,1991/02/09,1東京5,晴,10,東京障害特別(春)(G),12,3,3,10.5,6,9,池添兼雄,58,障3300,良,3:43.0,2.8,12-12-12-12,106.0-38.6,&nbsp;,482(0),シンボリクリエンス,&nbsp;
20,1991/01/13,1京都5,晴,5,障害4歳以上OP,7,1,1,7.7,4,4,原田聖二,60,障3000,良,3:20.0,1.4,2-3-6-5,105.0-39.1,&nbsp;,482(-2),クリバロン,190.0
21,1990/12/15,5京都5,晴,5,障害4歳以上OP,12,7,9,7.4,3,5,池添兼雄,60,障3290,良,3:41.0,2.5,10-10-9-9,108.0-41.0,&nbsp;,484(+4),スガハラテンジン,126.0
22,1990/12/02,5中山2,晴,6,障害4歳以上OP,6,1,1,7.6,4,4,池添兼雄,60,障3200,良,3:35.5,1.5,5-5-5-5,105.0-39.2,&nbsp;,480(+6),ワカタイショウ,190.0
23,1990/06/02,4阪神5,曇,5,障害4歳以上OP,7,7,7,2.5,2,3,池添兼雄,60,障3200,良,3:34.6,4.1,6-6-6-5,104.0-38.5,&nbsp;,474(0),マルブツサーペン,320.0
24,1990/05/05,2京都5,曇,9,京都大障害(春)(G),11,7,8,2.5,1,2,池添兼雄,58,障3270,不,3:50.6,0.7,9-8-4-3,116.0-40.7,&nbsp;,474(-4),メジロアニタ,"1,400.0"
25,1990/04/07,3阪神5,雨,5,障害4歳以上OP,9,1,1,3.4,1,1,池添兼雄,59,障3200,良,3:34.3,-0.6,7-7-5-3,109.0-41.4,&nbsp;,478(-2),(マルブツサーペン),"1,260.0"
26,1990/03/10,2阪神5,晴,9,阪神障害S(春)(G),11,1,1,2.0,1,4,池添兼雄,58,障3200,良,3:33.8,0.6,7-7-8-8,107.0-40.7,&nbsp;,480(0),パンフレット,470.0
27,1990/02/17,1阪神7,晴,5,障害4歳以上OP,10,4,4,4.3,3,2,池添兼雄,59,障3000,稍,3:19.7,0.8,4-6-7-6,106.0-39.2,&nbsp;,480(+2),ポットキャップテン,500.0
28,1990/02/04,1阪神4,曇,5,障害4歳以上400万下,7,1,1,2.0,1,1,池添兼雄,59,障3000,不,3:23.8,-1.0,6-6-5-4,106.0-40.4,&nbsp;,478(0),(マイネルフリッセ),"1,000.0"
29,1990/01/15,1京都6,晴,5,障害4歳以上未勝利,11,1,1,3.4,2,1,池添兼雄,59,障3000,良,3:22.0,-0.1,3-3-3-3,108.0-40.1,&nbsp;,478(-4),(ヒノデテイオー),790.0
30,1989/12/17,5阪神6,晴,5,障害4歳以上未勝利,8,8,8,2.2,1,5,池添兼雄,59,障3000,良,3:25.0,3.1,6-6-6-6,109.0-42.4,&nbsp;,482(+8),フィールドプレイ,78.0
31,1989/11/05,5京都2,晴,9,ドンカスターS(OP),14,2,2,20.0,10,14,南井克巳,56,芝2400,良,2:29.8,3.5,1-1-2-4,35.3-35.1,50.6,474(+2),ハツシバエース,&nbsp;
32,1989/10/08,4京都2,曇,11,京都大賞典(G2),10,8,10,18.7,4,8,安田隆行,58,芝2400,良,2:29.3,4.3,2-3-6-10,35.8-35.1,50.5,472(0),スーパークリーク,&nbsp;
33,1989/04/29,3京都3,晴,10,天皇賞(春)(G1),18,8,17,25.5,9,15,岡冨俊一,58,芝3200,良,3:22.7,3.9,7-11-16-16,36.6-36.5,51.1,472(+6),イナリワン,&nbsp;
34,1989/03/12,1阪神6,晴,11,阪神大賞典(G2),11,1,1,30.5,7,1,岡冨俊一,56,芝3000,良,3:07.4,-0.2,1-1-1-1,37.7-36.2,48.3,466(-8),(カツノコバン),"5,000.0"
35,1989/02/04,2京都3,曇,11,松籟S(1400万下),12,4,4,6.3,3,1,岡冨俊一,53,芝2400,稍,2:27.7,-0.1,3-3-2-2,36.2-36.9,48.6,474(+2),(ハリーダンカン),"1,430.0"
36,1989/01/13,1京都2,曇,10,睦月賞(900万下),16,2,3,9.4,4,2,安田隆行,56,芝2400,稍,2:28.6,0.0,3-3-3-2,36.5-36.5,48.4,472(-8),ワコーリューオー,460.0
37,1988/12/25,5阪神8,晴,8,4歳以上900万下,16,1,2,4.3,2,3,安田隆行,55,芝2500,良,2:36.0,0.4,3-4-3-2,30.1-37.5,49.9,480(+6),ライトサザーン,200.0
