,Date,Host,Weather,R_value,Race_name,Total_horse,Bracket_number,Horse_number,Odds,Popularity,Place,Rider,Penalty,Distance,Track_condition,Race_time,Margin,Passing,Pace,Fin,Horse_weight,Loser_horse,Prize
0,2012/08/19,2札幌2,晴,11,札幌記念(G2),14,5,8,104.7,12,13,柴山雄一,57,芝2000,良,2:00.6,1.9,5-5-8-8,35.0-35.2,36.6,516(-10),フミノイマージン,&nbsp;
1,2012/07/15,2函館6,晴,11,函館記念(G3),16,5,10,48.3,12,12,木幡初広,56,芝2000,良,2:01.4,1.0,10-10-12-9,34.9-36.5,36.6,526(+4),トランスワープ,&nbsp;
2,2012/06/10,3東京4,晴,11,エプソムC(G3),18,2,4,180.0,17,17,田中博康,58,芝1800,良,1:49.2,2.5,13-12-9,35.3-35.6,35.9,522(-4),トーセンレーヴ,&nbsp;
3,2012/03/24,3中山1,曇,11,日経賞(G2),14,3,4,294.4,13,13,石橋脩,56,芝2500,重,2:40.8,3.4,3-3-4-3,31.0-37.8,39.1,526(+2),ネコパンチ,&nbsp;
4,2012/03/04,1中京2,小雨,11,中日新聞杯(G3),17,5,10,52.0,13,14,田中博康,57,芝2000,良,2:03.5,1.3,14-17-17-17,37.1-35.7,35.4,524(-12),スマートギア,&nbsp;
5,2012/01/05,1中山1,晴,11,日刊スポ賞中山金杯(G3),16,7,14,47.2,11,13,柴田善臣,57,芝2000,良,2:01.1,1.7,10-10-7-7,36.9-34.6,35.7,536(+14),フェデラリスト,&nbsp;
6,2011/10/30,4東京9,曇,11,天皇賞(秋)(G1),18,2,3,249.9,16,12,柴田善臣,58,芝2000,良,1:58.0,1.9,7-5-7,34.3-35.8,36.6,522(-2),トーセンジョーダン,&nbsp;
7,2011/10/09,4東京2,晴,11,毎日王冠(G2),11,6,6,28.4,8,9,吉田隼人,57,芝1800,良,1:47.2,0.5,6-6-6,36.1-33.6,33.4,524(+6),ダークシャドウ,&nbsp;
8,2011/08/21,1札幌4,晴,11,札幌記念(G2),13,2,2,7.6,5,2,吉田隼人,57,芝2000,良,2:00.4,0.0,3-2-3-4,35.9-34.7,34.5,518(-14),トーセンジョーダン,"2,826.0"
9,2011/07/24,2函館4,晴,11,函館記念(G3),16,7,13,15.4,7,3,三浦皇成,57,芝2000,良,2:00.6,0.3,12-9-11-12,34.7-35.9,35.5,532(+4),キングトップガン,"1,108.2"
10,2011/06/12,3東京8,曇,11,エプソムC(G3),18,8,16,53.4,12,10,三浦皇成,57,芝1800,良,1:48.2,0.9,9-11-11,35.4-35.3,35.6,528(-6),ダークシャドウ,&nbsp;
11,2011/01/05,1中山1,晴,11,日刊スポ賞中山金杯(G3),16,3,6,9.4,3,12,内田博幸,57.5,芝2000,良,2:00.4,0.6,8-8-10-10,36.2-34.6,34.4,534(+16),コスモファントム,&nbsp;
12,2010/12/04,5阪神1,晴,11,鳴尾記念(G3),12,8,12,10.5,6,10,武豊,57,芝1800,良,1:45.9,1.0,11-10,35.1-34.8,34.1,518(-12),ルーラーシップ,&nbsp;
13,2010/10/31,4東京8,曇,11,天皇賞(秋)(G1),18,6,11,33.9,10,9,武豊,58,芝2000,稍,1:59.4,1.2,17-18-18,35.3-34.9,34.4,530(+4),ブエナビスタ,&nbsp;
14,2010/08/22,1札幌4,晴,9,札幌記念(G2),16,3,5,18.1,7,3,岩田康誠,57,芝2000,良,1:59.9,0.5,7-6-6-4,34.6-35.6,35.7,526(-2),アーネストリー,"1,816.6"
15,2010/06/27,3阪神4,晴,10,宝塚記念(G1),17,8,16,46.5,10,15,藤田伸二,58,芝2200,稍,2:14.5,1.5,7-8-5-4,34.8-36.5,37.6,528(+2),ナカヤマフェスタ,&nbsp;
16,2010/05/29,4京都3,晴,10,金鯱賞(G2),14,5,8,5.6,3,7,藤田伸二,57,芝2000,良,2:00.3,0.8,6-6-5-4,37.0-34.2,34.4,526(-6),アーネストリー,&nbsp;
17,2010/01/05,1中山1,晴,11,日刊スポ賞中山金杯(G3),16,2,4,3.2,1,1,藤田伸二,57,芝2000,良,2:00.8,0.0,8-8-11-8,36.6-36.0,35.1,532(+14),(トウショウシロッコ),"4,361.6"
18,2009/12/05,5阪神1,晴,11,鳴尾記念(G3),14,8,13,24.2,7,1,藤田伸二,56,芝1800,良,1:46.5,-0.2,8-6,36.6-33.6,33.1,518(-2),(スマートギア),"4,162.3"
19,2009/10/31,4京都7,晴,10,八坂S(1600万下),14,1,1,5.0,2,1,岩田康誠,57,芝1800,良,1:45.8,-0.1,8-6,35.0-34.9,34.2,520(-6),(スピリタス),"1,810.8"
20,2009/10/10,4京都1,晴,11,夕刊フジ杯大原S(1600万下),16,4,7,4.7,3,2,岩田康誠,57,芝2000,良,1:58.6,0.6,8-8-8-7,35.1-34.9,34.6,526(+4),アーネストリー,720.6
21,2009/08/22,2札幌7,晴,9,ポプラS(1600万下),16,4,8,10.8,6,2,岩田康誠,57,芝2000,良,2:00.3,0.0,10-9-7-7,35.4-35.6,35.0,522(-16),マイネルスターリー,720.0
22,2009/06/06,3東京5,曇,9,江の島特別(1000万下),16,3,6,4.3,2,1,内田博幸,57,芝1800,重,1:49.7,-0.3,12-13-12,36.3-36.1,35.5,538(-2),(ファビラスボーイ),"1,515.7"
23,2009/05/17,2東京8,曇,9,テレビ埼玉杯(1000万下),14,4,6,6.2,3,5,内田博幸,57,芝2000,良,2:01.0,0.7,3-2-2,36.0-36.0,36.5,540(+4),ワイルドコンコルド,148.0
24,2009/04/26,2東京2,晴,9,石和特別(1000万下),15,5,9,10.1,5,5,内田博幸,57,芝1800,稍,1:47.5,1.0,6-7-7,34.1-36.7,37.1,536(+8),レッドシューター,148.0
25,2007/01/13,1中山4,晴,10,迎春S(1600万下),11,3,3,2.0,1,3,田中勝春,56,芝2500,良,2:33.7,1.1,4-4-4-3,31.8-36.6,37.1,528(-2),ネヴァブション,463.9
26,2006/12/23,5中山7,晴,11,クリスマスC(1600万下),14,8,13,3.6,2,4,田中勝春,56,芝1800,良,1:47.2,0.3,7-8-7-5,34.7-36.3,35.8,530(+10),マツリダゴッホ,270.0
