,Date,Host,Weather,R_value,Race_name,Total_horse,Bracket_number,Horse_number,Odds,Popularity,Place,Rider,Penalty,Distance,Track_condition,Race_time,Margin,Passing,Pace,Fin,Horse_weight,Loser_horse,Prize
0,1995/03/04,3京都3,曇,9,阪神障害S(春)(G),14,5,7,79.6,11,12,東田幸男,60,障3170,良,3:37.4,9.0,10-10-12-12,103.0-37.9,13.7,498(0),リターンエース,&nbsp;
1,1995/02/11,1東京5,晴,9,東京障害特別(春)(G),13,3,3,32.8,9,中,東田幸男,60,障3300,良,&nbsp;,&nbsp;,&nbsp;,106.0-39.4,&nbsp;,498(-8),リターンエース,&nbsp;
2,1995/01/15,1京都5,晴,5,障害4歳以上OP,8,6,6,84.6,8,中,東田幸男,63,障3170,良,&nbsp;,&nbsp;,4-3,105.0-36.8,&nbsp;,506(+16),リターンエース,&nbsp;
3,1994/12/17,5中山5,晴,9,中山大障害(秋)(G),8,3,3,15.2,4,6,押田年郎,61,障4100,良,4:54.6,14.0,6-6-6-6,111.0-40.9,14.3,490(+4),ローズムーン,&nbsp;
4,1994/10/22,4東京5,晴,10,東京障害特別(秋)(G),13,1,1,8.6,6,6,押田年郎,61.5,障3300,稍,3:44.9,2.7,10-10-8-7,108.0-39.7,13.6,486(-8),ニホンピロラック,&nbsp;
5,1994/09/17,3中京3,曇,9,中京障害S(秋)(G),9,4,4,12.9,6,3,押田年郎,62,障3600,稍,3:58.8,1.3,4-4-4-4,105.0-39.8,13.3,494(0),キンセンアラシ,834.7
6,1994/08/27,3新潟5,晴,9,新潟障害S(OP),7,5,5,9.3,4,4,押田年郎,63,障2800,良,3:03.9,1.8,5-6-5-5,105.0-40.2,13.1,494(-10),キンセンアラシ,220.0
7,1994/07/23,3小倉3,晴,8,小倉障害S(OP),5,5,5,15.9,5,4,押田年郎,63,障2950,良,3:14.2,0.8,2-2-3-3,105.0-39.7,13.2,504(0),タマモモノノフ,220.0
8,1994/07/03,1福島6,晴,5,障害4歳以上OP,9,7,7,5.1,3,4,押田年郎,63,障2750,良,3:02.6,2.3,2-3-4-4,107.0-41.3,&nbsp;,504(-12),ブランディニー,190.0
9,1994/06/05,3東京6,晴,5,障害4歳以上OP,10,7,8,9.3,5,6,押田年郎,63,障3300,良,3:42.1,2.3,2-2-2-2,105.0-39.6,&nbsp;,516(+28),ブランディニー,&nbsp;
10,1993/04/10,3中山5,曇,10,中山大障害(G),9,4,4,3.7,2,1,押田年郎,59,障4100,良,4:38.5,-0.7,2-2-2-2,107.0-41.5,&nbsp;,488(-4),(ブロードマインド),"5,700.0"
11,1993/03/13,1阪神5,晴,9,阪神障害S(春)(G),11,8,10,13.0,6,2,押田年郎,61,障3150,良,3:27.5,1.3,10-8-5-4,103.0-39.4,&nbsp;,492(+6),シゲルデッドクロス,"1,300.0"
12,1993/02/13,1東京5,晴,10,東京障害特別(春)(G),8,2,2,4.6,3,6,押田年郎,61,障3300,良,3:43.0,1.9,2-2-3-4,107.0-39.2,&nbsp;,486(-4),ロンゲット,&nbsp;
13,1993/01/10,1京都4,雨,5,障害4歳以上OP,5,5,5,2.4,2,2,押田年郎,61,障3290,稍,3:46.1,1.4,3-2-2-2,109.0-40.6,&nbsp;,490(0),ランドパーシァ,510.0
14,1992/12/26,5中山7,晴,10,中山大障害(秋)(G),7,3,3,7.6,4,3,押田年郎,59,障4100,良,4:38.7,0.4,5-5-4-4,109.0-41.8,&nbsp;,490(+2),シンボリクリエンス,"1,400.0"
15,1992/11/28,5京都7,曇,9,京都大障害(秋)(G),8,4,4,25.7,6,2,押田年郎,59,障3270,良,3:41.2,1.7,3-2-2-2,107.0-38.9,&nbsp;,488(+6),ロングアポロン,"1,500.0"
16,1992/10/24,4東京5,雨,10,東京障害特別(秋)(G),8,7,7,5.4,4,6,押田年郎,61,障3300,良,3:49.4,7.4,5-5-6-6,110.0-41.6,&nbsp;,482(0),ディビーグロー,&nbsp;
17,1992/09/19,4阪神3,晴,9,阪神障害S(G),9,6,6,7.2,4,5,押田年郎,61,障3150,良,3:30.5,2.2,7-6-4-5,104.0-39.5,&nbsp;,482(-16),センタージュン,330.0
18,1992/08/29,3新潟5,晴,4,障害4歳以上OP,10,5,5,9.8,5,7,押田年郎,61,障2800,良,3:07.7,3.7,7-6-7-7,106.0-41.1,&nbsp;,498(+18),ディビーグロー,&nbsp;
19,1992/03/14,1阪神5,晴,9,阪神障害S(G),12,4,4,8.4,7,5,嘉堂信雄,62,障3150,良,3:29.3,0.8,3-3-3-3,105.0-38.5,&nbsp;,480(-2),ロングアポロン,330.0
20,1992/02/15,1東京5,晴,10,東京障害特別(春)(G),10,2,2,5.2,3,1,押田年郎,60,障3300,良,3:41.4,-0.8,4-4-2-2,108.0-39.6,&nbsp;,482(-10),(ハーバーシャンティ),"3,300.0"
21,1992/01/12,1京都4,晴,5,障害4歳以上OP,9,5,5,6.5,4,6,押田年郎,60,障3290,良,3:47.5,1.3,6-6-5-6,107.0-39.1,&nbsp;,492(+12),ナムラモノノフ,&nbsp;
22,1991/12/21,5中山7,晴,10,中山大障害(秋)(G),10,1,1,14.0,6,4,押田年郎,59,障4100,良,4:39.2,2.0,6-6-5-5,108.0-40.0,&nbsp;,480(+2),シンボリモントルー,840.0
23,1991/11/23,7京都7,曇,9,京都大障害(秋)(G),8,8,8,5.6,3,4,押田年郎,59,障3270,良,3:44.3,2.2,4-4-5-4,108.0-39.0,&nbsp;,478(0),エーコークロス,540.0
24,1991/10/19,4東京5,晴,10,東京障害特別(秋)(G),8,7,7,6.8,4,2,押田年郎,60,障3300,稍,3:43.7,0.0,5-5-5-5,109.0-40.6,&nbsp;,478(0),シンボリクリエンス,"1,300.0"
25,1991/09/14,3中京3,曇,9,中京障害S(G),8,8,8,5.2,3,3,押田年郎,60,障3600,不,4:01.2,0.5,3-4-3-2,108.0-40.3,&nbsp;,478(+4),メジロワース,800.0
26,1991/07/20,2新潟3,曇,9,新潟障害S(OP),8,2,2,1.8,1,1,押田年郎,59,障2800,不,3:09.9,-0.4,4-4-4-4,109.0-41.7,&nbsp;,474(-6),(サンアロー),"1,470.0"
27,1991/06/16,1福島2,曇,5,障害4歳以上OP,12,8,12,9.6,5,1,押田年郎,59,障2750,良,2:56.9,-0.3,5-5-5-3,105.0-39.9,&nbsp;,480(0),(ダンデイアポロ),"1,270.0"
28,1991/05/25,5京都3,晴,5,障害4歳以上OP,8,5,5,19.1,6,3,押田年郎,58,障3290,良,3:36.2,1.1,7-7-3-3,106.0-38.1,&nbsp;,480(+4),ドウカンホープ,320.0
29,1991/05/04,4京都5,晴,9,京都大障害(春)(G),8,6,6,11.5,5,5,押田年郎,58,障3270,良,3:40.7,1.6,7-7-5-5,106.0-38.8,&nbsp;,476(-8),ナムラモノノフ,360.0
30,1991/04/06,3京都5,雨,5,障害4歳以上OP,9,6,6,23.8,6,3,押田年郎,58,障3290,良,3:39.9,1.4,5-4-7-6,104.0-37.9,&nbsp;,484(+2),スガハラテンジン,320.0
31,1991/03/17,1中京8,晴,5,障害4歳以上400万下,10,7,7,22.8,7,1,押田年郎,58,障2800,重,3:08.0,-0.4,6-7-6-2,111.0-42.0,&nbsp;,482(-4),(ダンデイアポロ),"1,010.0"
32,1991/02/23,1中京1,晴,5,障害4歳以上400万下,11,6,6,17.7,9,7,押田年郎,58,障2800,良,3:07.1,2.4,6-6-8-9,110.0-40.7,&nbsp;,486(+2),キョウエイライダー,&nbsp;
33,1991/02/02,2京都3,晴,5,障害4歳以上未勝利,11,3,3,3.1,2,1,押田年郎,58,障3000,良,3:23.2,-1.4,1-1-1-1,107.0-39.1,&nbsp;,484(0),(ワールドビニー),800.0
34,1991/01/19,1京都7,晴,5,障害4歳以上未勝利,10,8,9,4.2,3,3,押田年郎,58,障3000,良,3:22.1,0.4,7-7-6-6,108.0-40.5,&nbsp;,484(0),ホワイトファイター,200.0
