,Date,Host,Weather,R_value,Race_name,Total_horse,Bracket_number,Horse_number,Odds,Popularity,Place,Rider,Penalty,Distance,Track_condition,Race_time,Margin,Passing,Pace,Fin,Horse_weight,Loser_horse,Prize
0,2018/02/25,2中山2,曇,11,中山記念(G2),10,7,7,36.1,8,6,田中勝春,56,芝1800,良,1:47.9,0.3,3-3-3-3,36.2-36.6,35.4,506(+2),ウインブライト,&nbsp;
1,2018/01/21,1中山7,晴,11,アメリカジョッキーC(G2),11,6,6,86.8,9,4,蛯名正義,56,芝2200,良,2:13.8,0.5,6-6-3-4,36.3-36.0,35.0,504(-4),ダンビュライト,930.0
2,2017/11/26,5東京8,晴,11,ジャパンC(G1),17,4,7,445.8,17,17,柴山雄一,57,芝2400,良,2:26.0,2.3,2-2-2-2,36.3-35.1,37.2,508(0),シュヴァルグラン,&nbsp;
3,2017/10/29,4東京9,雨,11,天皇賞(秋)(G1),18,3,6,131.5,15,7,柴山雄一,58,芝2000,不,2:09.9,1.6,17-14-10,38.6-38.7,39.6,508(+4),キタサンブラック,&nbsp;
4,2017/09/24,4中山7,曇,11,産経賞オールカマー(G2),17,4,7,135.2,14,6,柴山雄一,56,芝2200,良,2:14.1,0.3,2-2-2-2,37.7-34.8,34.6,504(+4),ルージュバック,&nbsp;
5,2017/08/20,2札幌2,晴,11,札幌記念(G2),13,6,9,45.8,10,12,四位洋文,57,芝2000,良,2:01.5,1.1,6-7-6-8,35.4-35.7,36.1,500(-2),サクラアンプルール,&nbsp;
6,2017/06/04,3東京2,晴,11,安田記念(G1),18,1,2,138.9,15,13,四位洋文,58,芝1600,良,1:32.7,1.2,3-3,33.9-34.4,35.4,502(+2),サトノアラジン,&nbsp;
7,2017/04/02,2阪神4,晴,11,大阪杯(G1),14,6,9,229.5,13,10,四位洋文,57,芝2000,良,2:00.1,1.2,7-7-8-7,35.5-35.3,34.9,500(-4),キタサンブラック,&nbsp;
8,2016/12/10,5阪神3,晴,11,チャレンジC(G3),18,8,16,6.5,3,9,武豊,58.5,芝1800,稍,1:46.8,0.3,7-7,35.3-36.1,35.5,504(-2),マイネルハニー,&nbsp;
9,2016/11/20,5京都6,曇,11,マイルチャンピオンS(G1),18,1,1,23.5,10,10,武豊,57,芝1600,良,1:33.7,0.6,7-7,34.4-35.6,35.5,506(0),ミッキーアイル,&nbsp;
10,2016/10/09,4東京2,曇,11,毎日王冠(G2),12,5,5,7.1,4,6,武豊,57,芝1800,稍,1:47.5,0.9,3-3-3,35.8-34.5,34.9,506(+6),ルージュバック,&nbsp;
11,2016/06/05,3東京2,晴,11,安田記念(G1),12,4,4,31.1,7,6,武豊,58,芝1600,良,1:33.3,0.3,3-3,35.0-33.9,33.9,500(-6),ロゴタイプ,&nbsp;
12,2016/03/26,3中山1,晴,11,日経賞(G2),9,3,3,9.0,5,5,武幸四郎,57,芝2500,良,2:37.3,0.5,1-1-1-1,31.7-33.9,34.4,506(-4),ゴールドアクター,670.0
13,2016/01/24,1中山8,晴,11,アメリカジョッキーC(G2),16,2,3,5.0,2,1,武豊,57,芝2200,良,2:12.0,-0.2,6-7-6-4,36.3-35.4,34.9,510(+12),(スーパームーン),"6,312.0"
