,Date,Host,Weather,R_value,Race_name,Total_horse,Bracket_number,Horse_number,Odds,Popularity,Place,Rider,Penalty,Distance,Track_condition,Race_time,Margin,Passing,Pace,Fin,Horse_weight,Loser_horse,Prize
0,1994/02/20,1小倉8,雨,11,小倉大賞典(G3),16,6,11,6.9,3,9,石橋守,59,芝1800,稍,1:51.2,1.0,6-5-7-14,36.2-38.0,38.4,494(+2),メイショウマリーン,&nbsp;
1,1994/01/30,1小倉2,曇,11,関門橋S(OP),13,8,12,19.5,8,3,大崎昭一,60,芝2000,良,2:01.7,0.1,5-5-6-4,35.1-37.6,37.3,492(0),ワイドバトル,580.0
2,1993/09/19,4阪神4,曇,11,朝日チャレンジC(G3),14,4,6,16.5,7,7,石橋守,58,芝2000,良,2:06.0,1.7,9-10-11-5,38.9-36.4,37.6,492(+20),ウィッシュドリーム,&nbsp;
3,1993/03/14,2中山6,晴,11,中山記念(G2),14,3,4,29.9,9,9,石橋守,58,芝1800,良,1:47.9,0.9,9-10-10-11,36.2-36.3,35.4,472(-16),ムービースター,&nbsp;
4,1993/02/21,1小倉8,雨,11,小倉大賞典(G3),16,1,2,7.6,3,5,石橋守,59,芝1800,不,1:50.2,0.6,11-11-8-7,36.2-36.8,36.9,488(+2),ワンモアラブウエイ,410.0
5,1993/01/24,1京都8,曇,11,日経新春杯(G2),12,8,12,13.6,7,8,石橋守,58,芝2200,良,2:14.9,0.9,5-6-7-6,37.3-35.3,47.4,486(-4),エルカーサリバー,&nbsp;
6,1993/01/05,1京都1,晴,11,スポニチ賞金杯(G3),16,6,12,12.0,7,6,石橋守,59,芝2000,良,2:01.5,0.1,8-9-7-6,38.4-35.2,46.4,490(0),エルカーサリバー,&nbsp;
7,1992/12/13,5阪神4,曇,11,鳴尾記念(G2),11,7,8,8.9,4,6,石橋守,59,芝2500,稍,2:40.0,0.9,7-7-6-4,31.8-39.4,51.6,490(+12),タケノベルベット,&nbsp;
8,1992/11/22,5京都6,晴,10,マイルチャンピオンS(G1),18,1,1,23.3,8,13,石橋守,57,芝1600,良,1:34.8,1.5,10-11,35.0-35.2,47.5,478(-6),ダイタクヘリオス,&nbsp;
9,1992/11/01,4東京8,晴,10,天皇賞(秋)(G1),18,1,1,51.5,12,14,石橋守,58,芝2000,良,2:00.1,1.5,8-7-8,34.6-37.8,38.3,484(0),レッツゴーターキン,&nbsp;
10,1992/07/12,2中京8,晴,11,高松宮杯(G2),18,1,1,2.4,1,1,石橋守,57,芝2000,稍,2:00.6,-0.1,8-5-2-2,34.2-37.9,37.3,484(-2),(ホクセイシプレー),"6,900.0"
11,1992/06/14,3阪神8,晴,10,宝塚記念(G1),13,4,5,10.8,3,3,石橋守,56,芝2200,良,2:19.8,1.2,9-9-8-4,37.0-39.8,52.0,486(+4),メジロパーマー,"3,300.0"
12,1992/05/17,3京都8,晴,11,京阪杯(G3),16,7,14,3.8,1,1,石橋守,57.5,芝2000,良,2:03.3,-0.3,6-6-4-2,37.1-36.4,48.0,482(0),(ワイドバトル),"4,300.0"
13,1992/04/19,2阪神8,晴,11,陽春S(OP),14,6,10,4.2,3,1,石橋守,57,芝1600,良,1:37.9,-0.3,4-5-5,36.7-37.1,48.3,482(0),(ブレスレット),"2,300.0"
14,1992/03/22,1中京6,晴,11,トヨタ賞中京記念(G3),13,4,5,3.5,1,4,石橋守,56,芝2000,稍,2:01.0,0.4,3-3-2-1,35.1-36.8,37.1,482(-10),ムービースター,660.0
15,1992/02/23,1小倉8,曇,11,小倉大賞典(G3),16,6,12,2.8,1,3,石橋守,56,芝1800,良,1:49.8,0.1,9-9-6-3,36.6-37.3,36.7,492(+6),ワイドバトル,"1,000.0"
16,1992/02/02,1小倉2,曇,11,関門橋S(OP),11,7,9,1.8,1,1,石橋守,55,芝2000,良,2:00.7,-0.3,5-3-3-2,35.5-37.3,37.2,486(+10),(イクノディクタス),"2,300.0"
17,1992/01/05,1京都1,曇,11,スポニチ賞金杯(G3),16,7,13,30.1,11,2,石橋守,53,芝2000,良,2:02.3,0.1,6-7-3-3,38.0-34.7,46.1,476(+2),ホワイトアロー,"1,700.0"
18,1991/12/08,1阪神4,曇,11,鳴尾記念(G2),11,1,1,140.7,9,5,藤田伸二,53,芝2500,良,2:37.4,1.1,9-10-8-7,32.2-37.3,49.4,474(0),ナイスネイチャ,550.0
19,1991/11/17,3福島8,曇,11,福島記念(G3),14,4,5,69.0,12,7,小迫次男,53,芝2000,良,2:01.8,0.6,5-7-7-4,35.3-38.0,37.7,474(+4),ヤグラステラ,&nbsp;
20,1991/10/06,2福島4,雨,11,福島民報杯(OP),11,1,1,12.3,7,8,小迫次男,54,芝2000,良,2:02.7,0.8,3-3-6-6,36.2-36.2,36.5,470(-6),ハイフェザー,&nbsp;
21,1991/03/09,1中京5,曇,10,すみれS(OP),13,6,9,5.4,3,2,石橋守,56,芝2000,重,2:04.3,0.0,6-6-3-3,35.7-36.9,36.7,476(+4),イイデサターン,690.0
22,1991/02/10,2京都6,雨,10,きさらぎ賞(G3),11,4,4,20.9,5,2,石橋守,55,芝1800,重,1:48.4,0.2,6-6,35.2-37.0,48.4,472(-4),シンホリスキー,"1,600.0"
23,1991/01/19,1京都7,晴,9,若駒S(OP),9,5,5,14.1,4,5,田島信行,55,芝2000,良,2:02.9,1.5,7-7-5-5,35.5-36.8,49.4,476(-6),トウカイテイオー,172.0
24,1990/12/09,5京都4,曇,11,阪神3歳S(G1),13,7,11,12.5,7,10,田島信行,54,芝1600,良,1:36.1,1.7,11-10,35.0-36.4,48.1,482(+2),イブキマイカグラ,&nbsp;
25,1990/11/25,4中京2,曇,9,カトレア賞(500万下),8,6,6,2.2,1,1,田島信行,54,芝1800,良,1:50.4,0.0,5-4-4-3,36.6-36.4,35.9,480(-4),(タイアクトレス),850.0
26,1990/10/27,3京都7,曇,9,もみじS(OP),9,7,8,20.2,8,2,田島信行,53,芝1600,良,1:35.7,0.2,9-9,34.1-37.3,48.0,484(+2),エミノディクタス,520.0
27,1990/09/22,3中京5,晴,9,野路菊S(OP),6,4,4,1.9,1,4,武豊,53,芝1700,良,1:44.5,0.6,3-3-3-3,31.0-36.3,36.6,482(0),カクテルドレス,200.0
28,1990/08/11,3小倉1,晴,6,3歳新馬,9,7,7,1.4,1,1,武豊,52,芝1200,良,1:12.2,-0.2,3-2,35.1-37.1,36.9,482(0),(プラントジョージ),550.0
