,Date,Host,Weather,R_value,Race_name,Total_horse,Bracket_number,Horse_number,Odds,Popularity,Place,Rider,Penalty,Distance,Track_condition,Race_time,Margin,Passing,Pace,Fin,Horse_weight,Loser_horse,Prize
0,2015/02/22,1東京8,曇,11,フェブラリーS(G1),16,2,3,204.6,16,15,江田照男,57,ダ1600,良,1:37.4,1.1,16-5,34.3-36.3,37.1,468(-2),コパノリッキー,&nbsp;
1,2015/02/01,1東京2,晴,11,根岸S(G3),16,8,15,87.6,12,16,ブノワ,56,ダ1400,重,1:25.9,2.5,15-16,35.3-35.8,36.9,470(-2),エアハリファ,&nbsp;
2,2014/12/14,4中山4,晴,11,カペラS(G3),15,3,5,&nbsp;,&nbsp;,除,戸崎圭太,56,ダ1200,良,&nbsp;,&nbsp;,&nbsp;,33.3-36.2,&nbsp;,472(0),ダノンレジェンド,&nbsp;
3,2014/11/01,4京都8,曇,11,毎日放送賞スワンS(G2),13,6,8,108.0,12,13,川須栄彦,56,芝1400,良,1:21.8,1.5,13-13,35.1-33.9,34.1,472(+1),ミッキーアイル,&nbsp;
4,2014/10/01,大井,曇,11,東京盃競走(G2),11,6,6,9.2,4,4,藤岡康太,56,ダ1200,良,1:10.8,0.6,10-8,33.8-36.4,35.2,471(+12),ノーザンリバー,350.0
5,2014/08/13,盛岡,曇,9,クラスターC(G3),14,8,14,4.1,3,3,藤岡康太,56,ダ1200,稍,1:10.0,0.3,13-10,&nbsp;,34.2,459(-3),サマリーズ,299.0
6,2014/07/13,3中京4,曇,11,プロキオンS(G3),16,4,7,33.5,8,8,藤岡康太,56,ダ1400,稍,1:23.0,0.4,14-15,34.7-36.1,35.4,462(-8),ベストウォーリア,&nbsp;
7,2014/03/30,2中京6,曇,11,高松宮記念(G1),18,5,10,63.4,14,10,藤岡康太,57,芝1200,不,1:13.4,1.2,18-18,34.5-37.7,35.9,470(0),コパノリチャード,&nbsp;
8,2014/02/23,1東京8,晴,11,フェブラリーS(G1),16,8,16,48.9,9,15,横山典弘,57,ダ1600,良,1:37.2,1.2,12-13,35.5-35.4,35.8,470(-2),コパノリッキー,&nbsp;
9,2014/02/02,1東京2,晴,11,根岸S(G3),16,7,14,14.0,5,3,横山典弘,56,ダ1400,良,1:23.5,0.1,16-16,35.3-36.1,34.9,472(0),ゴールスキー,938.2
10,2013/12/08,5中山4,晴,11,カペラS(G3),16,2,4,4.2,2,3,横山典弘,57,ダ1200,良,1:10.8,0.1,15-13,34.3-36.4,35.0,472(+6),ノーザンリバー,889.5
11,2013/11/10,5東京4,曇,11,東京中日S杯武蔵野S(G3),16,8,15,10.0,5,11,横山典弘,57,ダ1600,良,1:36.2,0.9,16-15,34.7-36.4,36.0,466(+2),ベルシャザール,&nbsp;
12,2013/09/29,4中山9,晴,11,スプリンターズS(G1),16,8,16,124.8,13,9,戸崎圭太,57,芝1200,良,1:07.8,0.6,16-15,32.9-34.3,33.4,464(-6),ロードカナロア,&nbsp;
13,2013/07/07,3中京4,晴,11,プロキオンS(G3),16,1,2,6.3,3,5,藤岡康太,57,ダ1400,良,1:22.1,0.2,11-9,34.1-36.3,35.0,470(0),アドマイヤロイヤル,350.0
14,2013/05/11,2東京7,雨,11,京王杯スプリングC(G2),18,8,16,61.0,15,5,藤岡康太,56,芝1400,稍,1:20.8,0.2,18-18,33.9-34.9,33.3,470(-4),ダイワマッジョーレ,550.0
15,2013/03/24,2中京6,晴,11,高松宮記念(G1),17,3,5,88.9,11,13,Ｃ．デム,57,芝1200,良,1:08.9,0.8,9-7,34.3-33.8,34.0,474(0),ロードカナロア,&nbsp;
16,2013/02/17,1東京8,晴,11,フェブラリーS(G1),16,8,16,9.0,5,5,横山典弘,57,ダ1600,良,1:35.5,0.4,16-16,34.6-36.5,35.7,474(0),グレープブランデー,940.0
17,2012/12/09,5中山4,晴,11,カペラS(G3),16,5,9,6.4,4,1,横山典弘,57,ダ1200,良,1:10.8,-0.1,14-13,34.2-36.6,35.3,474(+12),(エーシンウェズン),"3,560.2"
18,2012/11/11,5東京4,小雨,11,東京中日S杯武蔵野S(G3),16,4,7,12.6,7,11,武豊,57,ダ1600,良,1:37.2,0.8,16-16,35.0-35.8,35.6,462(-12),イジゲン,&nbsp;
19,2012/07/08,2中京4,曇,11,東海TVプロキオンS(G3),16,4,7,3.6,2,5,藤岡康太,57,ダ1400,良,1:22.8,0.2,16-16,34.0-37.0,35.1,474(+13),トシキャンディ,350.0
20,2012/05/02,船橋,雨,10,かしわ記念(G1),13,6,8,8.0,5,6,藤岡康太,57,ダ1600,重,1:39.2,2.7,3-3-3-4,35.4-37.0,39.0,461(-9),エスポワールシチー,&nbsp;
21,2012/02/19,1東京8,晴,11,フェブラリーS(G1),16,2,3,14.6,4,2,藤岡康太,57,ダ1600,良,1:35.7,0.3,15-15,34.7-36.7,35.7,470(0),テスタマッタ,"3,899.6"
22,2012/01/29,1東京2,晴,11,根岸S(G3),16,5,9,9.5,4,1,藤岡康太,57,ダ1400,良,1:23.5,-0.2,14-14,35.3-36.1,34.9,470(+6),(トウショウカズン),"3,556.7"
23,2011/12/18,6阪神6,晴,11,ギャラクシーS(OP),15,4,6,4.0,2,3,藤岡康太,57,ダ1400,良,1:23.5,0.4,12-12,33.9-37.4,35.9,464(+2),ヒラボクワイルド,535.3
24,2011/11/13,5東京4,晴,11,東京中日S杯武蔵野S(G3),16,7,13,4.5,2,9,ルメール,57,ダ1600,稍,1:36.3,1.1,14-15,35.4-36.0,35.7,462(+4),ナムラタイタン,&nbsp;
25,2011/10/10,4東京3,晴,11,マイルCS南部杯(G1),15,5,8,20.8,7,3,藤岡康太,57,ダ1600,良,1:34.9,0.1,9-8,34.3-37.0,36.3,458(+4),トランセンド,"1,147.4"
26,2011/09/03,4新潟7,晴,11,BSN賞(OP),13,8,12,3.5,2,3,藤岡康太,57,ダ1200,良,1:10.5,0.1,11-11,34.1-36.3,34.7,454(-4),アースサウンド,534.0
27,2011/07/10,4京都4,晴,11,プロキオンS(G3),16,3,6,44.8,9,1,藤岡康太,56,ダ1400,良,1:22.1,-0.4,16-14,33.9-36.5,34.9,458(-2),(ダノンカモン),"3,862.3"
28,2011/06/04,3阪神1,晴,11,天王山S(OP),16,6,12,4.3,2,6,ピンナ,56,ダ1200,良,1:10.5,0.5,16-15,33.6-36.4,34.8,460(0),ワールドワイド,&nbsp;
29,2011/05/15,3京都8,晴,11,栗東S(OP),16,7,13,10.9,5,4,ピンナ,55,ダ1400,良,1:23.1,0.4,15-12,35.1-35.8,34.9,460(-4),トーホウドルチェ,320.0
30,2011/04/02,2阪神3,晴,10,コーラルS(OP),16,2,3,11.8,4,9,安藤勝己,56,ダ1400,良,1:24.0,1.1,16-14,34.9-36.4,35.6,464(+4),セイクリムズン,&nbsp;
31,2010/12/12,5中山4,晴,11,カペラS(G3),16,4,8,4.1,1,4,小牧太,56,ダ1200,良,1:10.0,0.3,14-13,33.0-36.7,35.6,460(-4),セイクリムズン,570.0
32,2010/11/14,5東京4,曇,11,東京中日S杯武蔵野S(G3),16,8,16,7.9,3,7,小牧太,56,ダ1600,良,1:37.1,0.5,16-15,35.9-35.8,35.2,464(+6),グロリアスノア,&nbsp;
33,2010/10/03,4中山8,晴,12,中山オータムP(1600万下),16,1,2,2.8,1,1,安藤勝己,57,ダ1200,良,1:10.4,-0.2,15-15,33.7-36.7,34.9,458(+2),(ハイエモーション),"1,819.2"
34,2010/07/10,3阪神7,晴,9,出石特別(1000万下),16,2,4,1.7,1,1,小牧太,57,ダ1200,良,1:10.4,-0.1,15-14,34.7-35.7,34.1,456(0),(マイティーストーム),"1,516.4"
35,2010/06/13,4京都8,雨,12,4歳以上1000万下,16,3,5,3.7,1,1,小牧太,57,ダ1200,稍,1:10.1,-0.3,15-16,34.3-35.8,34.2,456(0),(コンフォーコ),"1,050.0"
36,2010/05/16,3京都8,晴,8,4歳以上500万下,16,8,16,3.3,2,1,小牧太,57,ダ1200,良,1:11.7,-0.4,7-5,35.8-35.9,35.3,456(+2),(ダスタップ),740.0
37,2010/04/17,2阪神7,晴,8,4歳以上500万下,15,2,3,6.6,3,6,田島裕和,57,ダ1200,重,1:12.2,0.6,9-10,35.2-36.4,36.1,454(+4),マイネラロンハ,&nbsp;
38,2009/03/29,2阪神2,晴,7,3歳500万下,14,6,10,5.2,3,2,角田晃一,56,ダ1400,良,1:25.2,0.4,5-3,35.5-37.1,37.0,450(0),ワールドワイド,280.0
