,Date,Host,Weather,R_value,Race_name,Total_horse,Bracket_number,Horse_number,Odds,Popularity,Place,Rider,Penalty,Distance,Track_condition,Race_time,Margin,Passing,Pace,Fin,Horse_weight,Loser_horse,Prize
0,1999/01/27,船橋,曇,11,報知グランプリ・カッ(G),13,8,12,&nbsp;,5,13,武豊,57,ダ1800,重,1:54.4,5.4,3-3-4-8,&nbsp;,&nbsp;,509(+10),アローセプテンバー,&nbsp;
1,1998/12/30,浦和,晴,11,埼玉新聞杯(G),9,2,2,&nbsp;,8,8,佐藤裕太,58,ダ1900,良,2:02.6,2.6,3-3-4-8,&nbsp;,&nbsp;,499(+7),キタサンシーズン,&nbsp;
2,1998/11/25,船橋,晴,11,京成盃グランドマイラ(G),13,3,3,&nbsp;,6,12,佐藤裕太,58,ダ1600,良,1:41.5,1.6,12-11-5-6,&nbsp;,&nbsp;,492(-5),サプライズパワー,&nbsp;
3,1998/10/28,大井,晴,9,グランドチャンピオン(G),13,2,2,&nbsp;,4,12,秋田実,56,ダ2000,良,2:08.8,3.7,10-10-7-6,36.7-37.2,40.4,497(+1),アブクマポーロ,&nbsp;
4,1998/05/17,1新潟6,曇,11,新潟大賞典(G3),14,4,5,20.7,8,12,大西直宏,56,芝2000,良,1:59.9,1.5,9-9-8-8,36.6-35.3,36.0,496(+2),サイレントハンター,&nbsp;
5,1998/03/21,1中京7,晴,11,トヨタ賞中京記念(G3),16,6,12,11.4,4,15,松永幹夫,56,芝2000,良,2:01.3,1.8,2-2-2-2,34.1-36.5,38.3,494(-2),トーヨーレインボー,&nbsp;
6,1998/02/28,1阪神1,曇,11,大阪城S(OP),12,8,11,18.1,6,1,松永幹夫,54,芝2000,良,2:01.8,-0.4,1-1-1-1,37.5-34.9,34.9,496(-2),(テイエムトップダン),"2,429.4"
7,1998/02/07,2京都3,雨,11,すばるS(OP),16,1,2,18.1,9,14,松永幹夫,55,ダ1400,良,1:25.6,2.3,12-11,34.3-37.4,38.3,498(+6),ビーマイナカヤマ,&nbsp;
8,1998/01/05,1京都1,晴,11,スポニチ賞京都金杯(G3),16,7,13,44.3,9,16,松永幹夫,55,芝2000,良,2:02.5,1.9,2-3-3-3,36.2-35.4,37.1,492(+2),ミッドナイトベット,&nbsp;
9,1997/08/17,1札幌6,曇,11,札幌記念(G2),13,3,3,30.5,5,12,藤田伸二,56,芝2000,良,2:02.4,2.2,7-8-7-7,35.1-36.1,37.8,490(+6),エアグルーヴ,&nbsp;
10,1997/07/06,3阪神8,晴,10,宝塚記念(G1),12,8,12,42.9,8,12,福永祐一,58,芝2200,良,2:18.9,7.0,5-5-10-12,34.3-36.8,42.3,484(0),マーベラスサンデー,&nbsp;
11,1997/06/15,3阪神2,曇,11,鳴尾記念(G2),15,3,4,7.1,3,6,武豊,58,芝2000,良,2:02.4,1.0,4-4-4-6,36.1-35.9,36.6,484(-2),バブルガムフェロー,&nbsp;
12,1997/05/24,2中京3,雨,11,金鯱賞(G2),9,2,2,11.3,4,4,藤田伸二,58,芝2000,良,2:02.6,0.3,1-1-2-2,36.2-36.7,36.8,486(-6),ゼネラリスト,960.0
13,1996/11/17,5京都6,晴,11,マイルチャンピオンS(G1),18,6,11,33.2,11,11,田原成貴,57,芝1600,良,1:34.7,0.9,14-15,34.5-36.1,35.8,492(0),ジェニュイン,&nbsp;
14,1996/10/27,5東京8,晴,10,天皇賞(秋)(G1),17,3,5,81.3,13,15,中舘英二,58,芝2000,良,2:00.0,1.3,4-3-3,36.3-34.7,35.8,492(+14),バブルガムフェロー,&nbsp;
15,1996/06/09,2中京8,小雨,11,東海テレビ杯金鯱賞(G2),13,6,9,8.3,3,8,塩村克己,58,芝2000,良,2:03.8,2.4,4-4-7-6,34.8-36.3,38.3,478(-14),フジヤマケンザン,&nbsp;
16,1996/03/10,1中山6,晴,11,中山記念(G2),15,5,8,4.4,2,5,藤田伸二,57,芝1800,良,1:47.7,0.5,6-6-6-6,35.9-36.1,36.1,492(-6),サクラローレル,640.0
17,1996/02/11,2京都6,晴,11,京都記念(G2),8,1,1,5.7,4,4,藤田伸二,57,芝2200,良,2:15.0,1.0,2-2-2-2,36.0-34.7,35.6,498(+16),テイエムジャンボ,960.0
