,Date,Host,Weather,R_value,Race_name,Total_horse,Bracket_number,Horse_number,Odds,Popularity,Place,Rider,Penalty,Distance,Track_condition,Race_time,Margin,Passing,Pace,Fin,Horse_weight,Loser_horse,Prize
0,2018/06/02,3阪神1,晴,11,鳴尾記念(G3),11,8,11,12.6,6,5,川田将雅,56,芝2000,良,1:57.9,0.7,4-3-3-2,34.2-35.3,35.7,514(+4),ストロングタイタン,410.0
1,2018/04/01,2阪神4,晴,11,大阪杯(G1),16,5,10,107.8,13,15,幸英明,57,芝2000,良,2:00.1,1.9,8-10-9-7,36.5-34.1,35.7,510(0),スワーヴリチャード,&nbsp;
2,2018/03/11,2中京2,晴,11,金鯱賞(G2),9,4,4,89.2,8,2,幸英明,56,芝2000,稍,2:01.7,0.1,1-1-1-1,38.3-34.2,34.3,510(0),スワーヴリチャード,"2,519.6"
