,Date,Host,Weather,R_value,Race_name,Total_horse,Bracket_number,Horse_number,Odds,Popularity,Place,Rider,Penalty,Distance,Track_condition,Race_time,Margin,Passing,Pace,Fin,Horse_weight,Loser_horse,Prize
0,1993/11/21,3福島8,晴,11,福島記念(G3),14,7,11,18.6,11,8,内田浩一,58,芝2000,稍,2:02.2,1.6,7-7-3-6,34.1-37.6,39.0,468(+2),ペガサス,&nbsp;
1,1993/10/30,5京都7,雨,11,スワンS(G2),16,5,9,196.4,15,12,内田浩一,58,芝1400,重,1:22.7,0.8,8-10,35.2-35.4,35.6,466(0),シンコウラブリイ,&nbsp;
2,1993/04/04,2阪神4,雨,11,産經大阪杯(G2),16,8,16,71.5,11,3,内田浩一,58,芝2000,良,2:04.3,1.0,1-1-1-2,36.9-37.1,50.1,466(-4),メジロマックイーン,"1,600.0"
3,1993/02/21,1小倉8,雨,11,小倉大賞典(G3),16,1,1,14.5,8,4,内田浩一,58,芝1800,不,1:50.1,0.5,4-3-3-2,36.2-36.8,37.0,470(+4),ワンモアラブウエイ,620.0
4,1993/01/05,1京都1,晴,11,スポニチ賞金杯(G3),16,1,2,25.4,13,3,内田浩一,58,芝2000,良,2:01.5,0.1,3-3-4-8,38.4-35.2,46.7,466(+2),エルカーサリバー,875.0
5,1992/12/13,5阪神4,曇,11,鳴尾記念(G2),11,8,11,24.8,10,11,内田浩一,59,芝2500,稍,2:42.4,3.3,2-2-2-7,31.8-39.4,54.4,464(+6),タケノベルベット,&nbsp;
6,1992/10/11,4東京2,曇,10,毎日王冠(G2),11,6,7,18.0,8,9,内田浩一,58,芝1800,良,1:46.9,1.3,2-2-2,35.2-35.5,36.6,458(-12),ダイタクヘリオス,&nbsp;
7,1992/08/23,1函館6,晴,11,函館記念(G3),14,4,6,8.2,4,5,内田浩一,59.5,芝2000,良,2:01.0,0.4,3-3-3-2,35.3-37.0,37.0,470(-2),ヒガシマジョルカ,410.0
8,1992/08/09,1函館2,雨,11,巴賞(OP),11,7,8,23.2,9,5,内田浩一,62,芝1800,不,1:53.5,1.0,3-3-2-2,36.9-38.5,39.5,472(+18),ツルマイナス,230.0
9,1992/01/26,1京都8,晴,11,日経新春杯(G2),12,8,11,23.1,7,7,内田浩一,58,芝2200,良,2:16.2,1.0,1-1-1-1,37.0-35.8,48.5,454(-2),カミノクレッセ,&nbsp;
10,1992/01/05,1京都1,曇,11,スポニチ賞金杯(G3),16,3,6,18.3,9,4,内田浩一,59,芝2000,良,2:02.6,0.4,1-1-1-1,38.0-34.7,46.6,456(-4),ホワイトアロー,650.0
11,1991/11/24,7京都8,晴,11,トパーズS(OP),11,7,9,17.0,9,1,内田浩一,59,芝2000,良,2:06.4,-0.4,1-1-1-1,39.2-36.9,49.2,460(+6),(スノージェット),"2,160.0"
12,1991/11/10,5東京4,晴,10,富士S(OP),8,8,8,9.9,4,7,的場均,57,芝1800,良,1:49.8,2.4,3-2-3,35.2-37.3,39.4,454(-6),スタビライザー,&nbsp;
13,1991/10/26,6京都7,曇,11,スワンS(G2),16,2,4,132.2,13,12,内田浩一,58,芝1400,良,1:21.8,1.2,6-4,34.6-34.9,46.9,460(+8),ケイエスミラクル,&nbsp;
14,1991/06/16,2中京2,晴,11,東海テレビ杯金鯱賞(G3),12,5,6,10.1,6,8,内田浩一,59,芝1800,良,1:47.1,0.5,2-2-2-3,35.7-35.8,36.0,452(-4),ムービースター,&nbsp;
15,1991/06/02,5京都6,雨,11,阪急杯(G3),14,3,5,19.4,7,13,内田浩一,59,芝1400,不,1:25.3,1.8,8-7,35.0-36.9,49.9,456(-4),ジョーロアリング,&nbsp;
16,1991/05/12,2東京8,曇,10,安田記念(G1),16,3,5,13.4,6,10,柴田政人,57,芝1600,良,1:34.6,0.8,9-8,34.2-36.2,36.3,460(-4),ダイイチルビー,&nbsp;
17,1991/03/17,2小倉8,晴,11,トヨタ賞中京記念(G3),16,4,8,14.0,8,2,上野清章,59,芝2000,稍,2:01.7,0.1,3-3-2-2,35.8-37.4,37.4,464(-4),レッツゴーターキン,"1,700.0"
18,1991/02/24,1中京2,晴,11,読売マイラーズC(G2),13,3,3,5.6,3,10,内田浩一,58,芝1700,良,1:43.0,1.8,5-4-5-5,29.3-36.7,37.9,468(+16),ダイタクヘリオス,&nbsp;
19,1990/12/16,5中山6,晴,10,スプリンターズS(G1),16,7,13,17.0,9,10,内田浩一,57,芝1200,良,1:08.8,1.0,8-8,32.4-35.4,35.8,452(0),バンブーメモリー,&nbsp;
20,1990/11/18,4京都6,晴,10,マイルチャンピオンS(G1),18,7,13,13.2,3,4,内田浩一,57,芝1600,良,1:34.0,0.4,5-6,35.4-35.2,46.6,452(-2),パッシングショット,"1,200.0"
21,1990/10/28,4東京8,晴,10,天皇賞(秋)(G1),18,7,14,13.7,6,17,内田浩一,58,芝2000,良,2:01.0,2.8,2-2-2,35.1-36.1,38.9,454(+4),ヤエノムテキ,&nbsp;
22,1990/10/07,4東京2,小雨,10,毎日王冠(G2),10,1,1,8.4,3,1,内田浩一,57,芝1800,良,1:46.7,-0.1,2-1-1,35.7-34.9,34.9,450(-14),(マキバサイクロン),"5,500.0"
23,1990/08/19,1函館6,晴,10,函館記念(G3),15,1,1,2.9,1,1,内田浩一,57.5,芝2000,良,1:59.5,-0.3,2-2-3-1,35.1-37.7,37.6,464(0),(アサクサキャリア),"3,600.0"
24,1990/08/05,1函館2,晴,10,巴賞(OP),9,4,4,2.9,2,1,内田浩一,57,芝1800,良,1:46.6,-0.7,3-3-2-2,35.8-35.4,35.4,464(+4),(コスモローマン),"2,000.0"
25,1990/06/24,2中京4,晴,11,CBC賞(G2),16,3,5,11.3,5,9,内田浩一,57,芝1200,良,1:09.5,1.2,14-16,33.3-35.0,34.8,460(-2),パッシングショット,&nbsp;
26,1990/06/03,4阪神6,晴,11,阪急杯(G3),18,7,14,13.4,6,4,内田浩一,56,芝1400,良,1:22.5,0.2,12-10,33.6-37.4,47.5,462(+4),センリョウヤクシャ,570.0
