,Date,Host,Weather,R_value,Race_name,Total_horse,Bracket_number,Horse_number,Odds,Popularity,Place,Rider,Penalty,Distance,Track_condition,Race_time,Margin,Passing,Pace,Fin,Horse_weight,Loser_horse,Prize
0,2017/02/09,園田,曇,10,園田ウインターC(G),9,1,1,44.4,6,8,永島太郎,56,ダ1400,重,1:31.7,3.5,4-3-5-5,&nbsp;,41.2,527(-5),トウケイタイガー,&nbsp;
1,2017/01/11,園田,晴,6,A1,6,2,2,5.2,5,3,大山真吾,56,ダ1400,重,1:30.6,0.5,5-5-6-3,&nbsp;,36.9,532(+4),マークスマン,16.8
2,2016/12/28,園田,晴,10,兵庫ゴールドトロフィ(G3),12,5,5,265.9,8,10,田中学,54,ダ1400,不,1:28.9,3.1,10-10-9-8,&nbsp;,39.8,528(+2),ニシケンモノノフ,&nbsp;
3,2016/12/01,園田,晴,11,園田金盃(G),11,6,6,24.7,7,11,大山真吾,56,ダ1870,稍,2:06.8,5.2,8-8-11-11,&nbsp;,42.3,526(-2),バズーカ,&nbsp;
4,2016/10/21,園田,曇,10,ニッカン菊園特別A1,12,3,3,2.9,2,3,大山真吾,57,ダ1400,良,1:31.1,0.1,4-4-5-4,&nbsp;,38.5,528(+8),マイネルコンキスタ,19.2
5,2016/09/15,浦和,曇,11,テレ玉杯オーバルスプ(G3),12,4,4,391.7,11,10,大山真吾,55,ダ1400,重,1:28.9,3.1,10-10-10-10,35.3-38.1,39.1,520(+2),レーザーバレット,&nbsp;
6,2016/07/13,笠松,曇,11,サマーC(G),10,6,6,1.6,1,5,大山真吾,57,ダ1400,良,1:28.3,1.7,10-9-7,&nbsp;,37.4,518(-12),マルトクスパート,5.4
7,2016/06/17,園田,曇,10,第17回大日本プロレ,11,6,6,1.7,1,1,大山真吾,57,ダ1400,重,1:28.0,-0.5,5-5-3-1,&nbsp;,37.8,530(-4),(マークスマン),140.0
8,2016/04/17,1福島4,雨,4,障害4歳以上未勝利,14,5,8,3.5,1,8,北沢伸也,60,障2750,良,3:07.7,4.3,11-11-12-10,108.0-39.6,13.7,534(+2),マイネルマーク,&nbsp;
9,2016/01/31,1東京2,晴,11,根岸S(G3),16,2,3,161.1,13,12,石川裕紀,56,ダ1400,稍,1:23.6,1.6,14-14,34.6-35.6,35.5,532(-4),モーニン,&nbsp;
10,2016/01/11,1京都4,晴,4,障害4歳以上未勝利,14,2,2,2.6,1,中,北沢伸也,60,障2910,良,&nbsp;,&nbsp;,&nbsp;,107.0-38.4,&nbsp;,536(+8),オールデフィート,&nbsp;
11,2015/11/14,5東京3,雨,11,東京中日S杯武蔵野S(G3),14,3,3,103.3,10,12,内田博幸,56,ダ1600,稍,1:36.5,1.8,7-6,34.4-36.5,37.6,528(+8),ノンコノユメ,&nbsp;
12,2015/10/12,盛岡,曇,11,マイルチャンピオンシ(G1),15,2,2,68.6,7,10,村上忍,57,ダ1600,稍,1:39.4,2.6,8-8,&nbsp;,40.6,520(-8),ベストウォーリア,&nbsp;
13,2015/07/12,3中京4,晴,11,プロキオンS(G3),16,4,8,33.0,9,13,和田竜二,56,ダ1400,良,1:23.8,1.3,6-4,34.6-35.9,36.8,528(+2),ベストウォーリア,&nbsp;
14,2015/06/13,3東京3,曇,11,アハルテケS(OP),16,8,16,10.9,6,3,横山典弘,57.5,ダ1600,良,1:35.9,0.1,5-5,35.1-36.4,36.1,526(-6),キョウエイアシュラ,535.0
15,2015/02/22,1東京8,曇,11,フェブラリーS(G1),16,8,16,84.9,14,12,横山典弘,57,ダ1600,良,1:36.9,0.6,1-1,34.3-36.3,36.9,532(+4),コパノリッキー,&nbsp;
16,2015/02/01,1東京2,晴,11,根岸S(G3),16,7,14,102.7,15,3,内田博幸,56,ダ1400,重,1:23.7,0.3,8-9,35.3-35.8,35.3,528(-2),エアハリファ,938.1
17,2014/11/15,5東京3,晴,11,東京中日S杯武蔵野S(G3),16,8,15,27.3,9,14,内田博幸,56,ダ1600,良,1:37.3,2.1,9-9,34.2-37.1,38.3,530(+7),ワイドバッハ,&nbsp;
18,2014/10/13,盛岡,曇,11,マイルチャンピオンシ(G1),15,3,5,13.0,4,3,四位洋文,57,ダ1600,良,1:36.7,0.8,5-4,&nbsp;,36.0,523(-9),ベストウォーリア,585.0
19,2014/07/13,3中京4,曇,11,プロキオンS(G3),16,6,11,14.4,6,14,小牧太,57,ダ1400,稍,1:24.1,1.5,12-12,34.7-36.1,36.7,532(+8),ベストウォーリア,&nbsp;
20,2014/06/14,3東京3,晴,11,アハルテケS(OP),14,4,5,8.6,4,3,内田博幸,57.5,ダ1600,稍,1:35.0,0.4,12-12,34.7-35.9,35.3,524(+13),エアハリファ,506.7
21,2014/05/05,船橋,曇,11,かしわ記念(G1),8,1,1,19.4,5,5,森泰斗,57,ダ1600,良,1:39.9,0.7,4-4-4-5,37.9-36.6,37.2,511(-15),コパノリッキー,300.0
22,2014/02/23,1東京8,晴,11,フェブラリーS(G1),16,5,9,31.3,8,14,四位洋文,57,ダ1600,良,1:36.9,0.9,16-16,35.5-35.4,35.4,526(+2),コパノリッキー,&nbsp;
23,2014/02/02,1東京2,晴,11,根岸S(G3),16,1,2,6.1,3,5,四位洋文,57,ダ1400,良,1:23.6,0.2,10-9,35.3-36.1,35.6,524(+4),ゴールスキー,370.0
24,2013/11/10,5東京4,曇,11,東京中日S杯武蔵野S(G3),16,2,3,6.2,3,2,四位洋文,57,ダ1600,良,1:35.4,0.1,8-7,34.7-36.4,35.8,520(+4),ベルシャザール,"1,417.4"
25,2013/10/14,盛岡,晴,11,マイルチャンピオンシ(G1),13,6,9,11.9,4,5,四位洋文,57,ダ1600,良,1:36.5,1.4,10-10,&nbsp;,35.1,516(-4),エスポワールシチー,225.0
26,2013/07/07,3中京4,晴,11,プロキオンS(G3),16,3,5,5.9,2,1,四位洋文,56,ダ1400,良,1:21.9,0.0,7-7,34.1-36.3,35.2,520(-4),(セイクリムズン),"3,559.5"
27,2013/05/25,2東京11,晴,11,欅S(OP),15,8,15,3.4,2,1,四位洋文,56,ダ1400,良,1:23.7,-0.1,5-4,35.7-35.7,35.4,524(+6),(エアウルフ),"2,034.3"
28,2013/04/28,2東京4,晴,10,オアシスS(OP),16,7,14,3.9,2,2,四位洋文,56,ダ1600,良,1:35.8,0.3,7-7,34.7-36.4,35.1,518(-8),エアハリファ,813.4
29,2013/02/02,2京都3,晴,11,すばるS(OP),16,7,13,4.5,2,2,川田将雅,56,ダ1400,良,1:24.0,0.5,10-6,35.2-36.5,36.1,526(0),アドバンスウェイ,810.8
30,2013/01/12,1京都3,晴,11,大和S(OP),16,8,15,3.9,2,5,川田将雅,56,ダ1400,良,1:24.0,0.4,7-6,36.1-35.3,35.1,526(+4),マルカフリート,200.0
31,2012/11/11,5東京4,小雨,11,東京中日S杯武蔵野S(G3),16,5,10,13.6,8,4,安藤勝己,56,ダ1600,良,1:36.8,0.4,13-14,35.0-35.8,35.4,522(+12),イジゲン,530.0
32,2012/10/08,盛岡,晴,11,マイルチャンピオンシ(G1),13,1,1,8.1,3,3,安藤勝己,57,ダ1600,良,1:37.5,1.6,5-5,&nbsp;,36.6,510(-16),エスポワールシチー,585.0
33,2012/07/08,2中京4,曇,11,東海TVプロキオンS(G3),16,7,14,7.5,4,2,安藤勝己,56,ダ1400,良,1:22.7,0.1,8-10,34.0-37.0,36.0,526(-2),トシキャンディ,"1,417.0"
34,2012/06/09,3東京3,雨,11,アハルテケS(OP),16,1,2,4.5,2,3,安藤勝己,56,ダ1600,重,1:34.8,0.4,10-10,34.6-35.8,35.4,528(+6),バーディバーディ,505.4
35,2012/05/26,2東京11,晴,11,欅S(OP),16,5,9,3.6,2,2,安藤勝己,56,ダ1400,良,1:23.0,0.0,8-8,34.6-36.5,35.4,522(+6),ブライトアイザック,810.6
36,2012/04/29,2東京4,晴,10,オアシスS(OP),16,8,15,8.4,5,3,高倉稜,56,ダ1600,良,1:35.8,0.6,7-7,34.4-36.1,36.0,516(0),ナムラタイタン,506.3
37,2012/02/05,1東京4,晴,11,東京新聞杯(G3),16,8,16,88.6,14,15,田辺裕信,56,芝1600,良,1:35.4,2.6,11-15,35.1-34.2,35.3,516(-4),ガルボ,&nbsp;
38,2012/01/22,1京都7,晴,11,平安S(G3),16,3,6,8.9,2,8,安藤勝己,56,ダ1800,不,1:49.2,1.1,5-5-5-4,35.4-36.1,36.7,520(+2),ヒラボクキング,&nbsp;
39,2011/11/13,5東京4,晴,11,東京中日S杯武蔵野S(G3),16,1,2,8.0,3,3,安藤勝己,56,ダ1600,稍,1:35.4,0.2,10-7,35.4-36.0,35.4,518(0),ナムラタイタン,958.3
40,2011/10/30,4東京9,曇,12,東京ゴールデンP(1600万下),10,4,4,2.2,1,1,安藤勝己,57,ダ1600,良,1:38.1,0.0,6-6,36.6-35.7,35.2,518(+2),(エアウルフ),"1,793.1"
41,2011/10/08,4東京1,晴,9,多摩川特別(1000万下),16,3,6,1.5,1,1,安藤勝己,57,ダ1600,良,1:38.3,-0.2,7-7,37.0-35.5,34.9,516(-12),(レーザーバレット),"1,509.2"
42,2011/06/26,4阪神4,雨,9,皆生特別(1000万下),16,3,5,2.1,1,2,岩田康誠,57,ダ1400,良,1:23.9,0.3,9-10,35.2-36.0,35.7,528(+4),シゲルソウサイ,602.0
43,2011/05/22,3東京2,小雨,10,薫風S(1600万下),16,3,6,4.0,1,2,藤岡佑介,57,ダ1600,良,1:37.7,0.1,8-11,34.7-37.3,36.5,524(+2),ヒラボクワイルド,721.0
44,2011/04/24,2東京2,晴,8,4歳以上1000万下,16,4,8,1.7,1,1,岩田康誠,57,ダ1600,重,1:37.0,-0.3,6-6,35.2-37.4,36.7,522(0),(アストレーション),"1,040.0"
45,2011/04/03,2阪神4,晴,8,4歳以上1000万下,16,4,8,3.0,1,2,岩田康誠,57,ダ1400,良,1:24.9,0.1,8-8,34.7-37.6,36.9,522(-2),ハイローラー,420.0
46,2011/01/22,1京都7,曇,9,花見小路特別(1000万下),12,3,3,3.5,2,2,安藤勝己,56,芝1600,良,1:34.7,0.3,2-2,35.2-34.7,34.7,524(+4),エアラフォン,598.6
47,2010/12/25,5阪神7,晴,9,摂津特別(1000万下),14,4,5,15.3,6,2,安藤勝己,56,芝1600,良,1:35.1,0.2,3-6,35.5-34.8,34.7,520(+10),ドリームゼニス,600.0
48,2010/09/20,2札幌4,曇,12,3歳以上500万下,14,4,6,3.4,1,1,上村洋行,55,芝1500,良,1:30.6,-0.2,8-6-5,29.6-37.1,36.6,510(+4),(レッドヴァンクール),710.0
49,2010/08/21,1札幌3,晴,8,タイランドC(500万下),14,1,1,1.8,1,6,安藤勝己,54,芝1800,良,1:49.7,0.3,2-3-8-7,36.6-35.1,34.9,506(-6),キングスデライト,&nbsp;
50,2010/07/31,2函館5,晴,8,北洋特別(500万下),8,1,1,7.2,4,2,安藤勝己,54,芝2000,良,2:02.4,0.0,3-3-3-4,36.7-35.3,34.8,512(0),タッチミーノット,427.2
51,2010/03/21,1阪神8,晴,7,3歳500万下,16,8,15,20.3,8,12,岩田康誠,56,芝1400,良,1:22.5,0.9,14-14,33.7-36.3,35.4,512(-4),ツルマルジュピター,&nbsp;
