,Date,Host,Weather,R_value,Race_name,Total_horse,Bracket_number,Horse_number,Odds,Popularity,Place,Rider,Penalty,Distance,Track_condition,Race_time,Margin,Passing,Pace,Fin,Horse_weight,Loser_horse,Prize
0,1997/12/14,5中山6,晴,11,スプリンターズS(G1),16,5,9,192.8,14,6,ロバーツ,57,芝1200,良,1:09.1,1.3,13-14,32.6-35.2,35.3,490(-8),タイキシャトル,&nbsp;
1,1997/11/22,5東京7,曇,11,富士S(OP),16,2,3,32.4,10,1,ロバーツ,57,芝1400,稍,1:22.8,-0.1,6-7,34.0-36.4,35.6,498(+4),(ヒロデクロス),"2,439.9"
2,1997/10/25,4東京7,晴,11,アイルランドT(OP),13,4,4,54.1,11,12,鹿戸雄一,56,芝1600,良,1:34.9,1.4,8-11,35.4-34.4,34.9,494(-4),トーヨーレインボー,&nbsp;
3,1997/10/11,4東京3,晴,11,オーロC(OP),12,5,5,47.1,9,5,鹿戸雄一,58,芝1400,良,1:22.2,0.4,10-11,35.4-34.2,33.8,498(+4),シャドウクリーク,240.0
4,1997/09/07,4中山2,晴,11,京王杯オータムH(G3),10,2,2,82.6,9,7,大塚栄三,56,芝1600,良,1:34.5,0.7,4-4-3,35.4-35.5,35.5,494(-2),クロカミ,&nbsp;
5,1997/08/24,3新潟6,曇,11,新潟記念(G3),15,7,13,36.0,10,10,大塚栄三,56.5,芝2000,良,2:01.1,1.4,5-6-5-8,35.7-36.3,36.4,496(+6),パルブライト,&nbsp;
6,1997/07/05,1福島7,曇,11,七夕賞(G3),9,8,8,29.9,6,5,大塚栄三,56,芝2000,良,2:00.8,0.5,4-5-7-7,35.6-34.6,34.8,490(+6),マイネルブリッジ,430.0
7,1997/06/22,1福島4,晴,11,吾妻小富士OP(OP),16,5,10,66.1,11,4,大塚栄三,58,芝1800,良,1:47.1,0.3,13-13-12-13,35.1-35.7,35.0,484(+4),ヤシマソブリン,380.0
8,1997/03/02,2中山4,曇,10,オーシャンS(OP),10,3,3,7.6,5,6,芹沢純一,56.5,芝1200,良,1:09.8,0.5,8-4,33.7-35.6,35.7,480(-14),チアズサイレンス,&nbsp;
9,1997/02/16,2京都8,曇,11,淀短距離S(OP),12,5,5,11.3,7,11,田島裕和,57,芝1200,稍,1:11.2,0.9,10-10,34.9-35.4,35.7,494(+2),マチカネジンダイコ,&nbsp;
10,1997/02/02,1東京4,晴,11,東京新聞杯(G3),11,7,9,50.6,9,11,大塚栄三,57,芝1600,良,1:34.7,1.0,1-1,35.3-34.8,35.8,492(-2),ベストタイアップ,&nbsp;
11,1997/01/12,1京都5,曇,11,洛陽S(OP),16,6,11,19.2,6,6,ブータン,58,芝1600,良,1:34.9,0.6,7-7,34.8-36.1,36.0,494(+12),ユノペンタゴン,&nbsp;
12,1997/01/06,1中山2,晴,11,ニューイヤーS(OP),16,2,4,18.1,6,4,鹿戸雄一,58,芝1600,重,1:36.8,0.2,5-7-8,34.6-38.0,37.6,482(-14),サクラスピードオー,350.0
13,1996/12/21,5阪神7,晴,10,シリウスS(OP),13,3,3,5.1,2,6,芹沢純一,58,芝1200,良,1:10.4,0.2,7-8,34.0-36.2,35.8,496(0),ニシノファイナル,&nbsp;
14,1996/11/23,3中京1,晴,11,CBC賞(G2),14,3,4,63.2,10,4,田島裕和,57,芝1200,良,1:07.9,0.6,9-8,32.9-34.4,33.8,496(-4),エイシンワシントン,960.0
15,1996/11/17,5京都6,晴,11,マイルチャンピオンS(G1),18,4,7,90.6,16,16,大塚栄三,57,芝1600,良,1:35.9,2.1,2-4,34.5-36.1,37.8,500(0),ジェニュイン,&nbsp;
16,1996/09/29,4阪神8,曇,11,セントウルS(G3),12,6,7,3.2,1,4,芹沢純一,58,芝1400,良,1:21.6,0.6,3-3,34.2-35.4,35.9,500(0),フジノマッケンオー,650.0
17,1996/09/08,5中山2,晴,11,京王杯オータムH(G3),12,2,2,11.1,5,2,大塚栄三,56,芝1600,良,1:35.2,0.2,2-2-2,35.1-36.4,36.3,500(0),クラウンシチー,"1,713.0"
18,1996/08/04,2新潟8,曇,11,関屋記念(G3),12,5,5,11.2,4,3,大塚栄三,56,芝1600,良,1:34.2,0.2,5-5,34.3-35.3,34.6,500(+6),エイシンガイモン,"1,006.4"
19,1996/07/14,2新潟2,曇,11,朱鷺S(OP),9,8,8,8.3,5,2,大塚栄三,57,芝1400,良,1:20.2,0.1,2-2,33.7-35.2,35.3,494(0),タイブルース,926.2
20,1996/06/23,3中山4,曇,11,吾妻小富士OP(OP),13,7,10,8.8,5,5,大塚栄三,57,芝1200,良,1:08.3,0.5,3-3,33.2-34.6,34.8,494(+6),トーヨーロータス,250.0
21,1996/01/14,1東京5,晴,11,ニューイヤーS(OP),14,3,3,12.3,7,10,大塚栄三,57,芝1400,良,1:22.4,0.5,6-6,34.9-35.4,35.2,488(+6),メイショウユウシ,&nbsp;
22,1995/12/17,5中山6,晴,10,スプリンターズS(G1),16,7,13,54.0,11,7,大塚栄三,57,芝1200,良,1:08.9,0.8,13-12,32.9-35.2,35.1,482(+12),ヒシアケボノ,&nbsp;
23,1995/11/25,5東京7,晴,11,キャピタルS(OP),14,8,13,8.1,4,11,大塚栄三,57,芝1400,良,1:22.8,1.0,6-6,35.0-35.4,35.8,470(-22),スーパーライセンス,&nbsp;
24,1995/08/13,1函館4,晴,11,マリーンS(OP),16,1,2,8.5,5,4,松永幹夫,57,芝1200,良,1:09.5,0.4,9-9,33.3-35.8,35.5,492(+14),ニホンピロスタディ,350.0
25,1995/06/25,3中京4,曇,11,CBC賞(G2),15,2,3,5.6,2,4,小島貞博,57,芝1200,良,1:09.2,0.6,6-7,33.4-35.2,34.9,478(-4),トーワウィナー,960.0
26,1995/06/03,3東京5,曇,11,パラダイスS(OP),14,6,10,1.9,1,1,大塚栄三,57,芝1400,良,1:21.9,-0.2,4-4,35.1-35.3,34.7,482(0),(インディードスルー),"2,337.1"
27,1995/05/14,2東京8,曇,11,安田記念(G1),18,2,3,43.9,15,8,大塚栄三,57,芝1600,良,1:33.9,0.7,1-1,34.7-35.2,35.8,482(+6),ハートレイク,&nbsp;
28,1995/04/22,2東京1,晴,11,京王杯スプリングC(G2),18,2,3,44.3,15,2,大塚栄三,57,芝1400,良,1:21.4,0.1,5-4,34.1-35.8,35.7,476(+4),ドゥマーニ,"2,440.0"
29,1995/04/02,3中山4,晴,11,ダービー卿チャレンジ(G3),14,7,11,17.1,7,3,芹沢純一,57,芝1200,稍,1:10.2,0.2,8-4,34.0-36.0,35.5,472(-2),オギティファニー,"1,107.0"
30,1995/03/18,2中山7,小雨,9,千葉S(1500万下),11,5,5,3.3,1,1,松永幹夫,57.5,芝1200,不,1:12.6,-0.1,5-4,34.7-37.9,37.6,474(-6),(ヒカルイットウセイ),"1,766.6"
31,1995/03/05,2中山4,晴,10,ファイナルC(1500万下),12,6,7,3.5,1,3,ウィーバ,57,芝1600,重,1:36.8,0.2,3-5-6,35.9-37.5,37.5,480(-6),ニシノマラキム,444.4
32,1995/02/11,2京都5,晴,11,斑鳩S(1500万下),15,4,6,2.4,1,4,武豊,57.5,芝1600,良,1:34.0,0.2,4-4,35.6-35.3,35.0,486(+10),ドラゴンゼアー,260.0
33,1995/01/21,1中山7,晴,11,初富士S(1500万下),14,8,14,7.7,5,4,芹沢純一,58,芝1600,良,1:34.0,0.4,3-3-2,34.3-36.2,36.5,476(-4),トロットサンダー,260.0
34,1994/12/17,7阪神5,晴,11,逆瀬川S(1500万下),16,4,8,3.4,1,3,田原成貴,57.5,芝1600,良,1:37.4,0.2,4-5-4,38.2-34.7,34.5,480(+6),サマニベッピン,446.1
35,1994/12/03,7阪神1,曇,11,ゴールデンスパーT(1500万下),12,4,4,8.6,4,2,ベイリー,58,芝1400,良,1:22.5,0.0,8-8,35.0-36.0,35.6,474(+2),バンブーユージン,710.6
36,1994/11/19,5東京5,晴,10,霜月S(1500万下),16,4,8,17.6,5,16,蛯名正義,57,ダ1600,良,1:39.9,3.3,6-10,34.9-37.6,39.9,472(-6),アイオーユー,&nbsp;
37,1994/06/05,5阪神6,晴,11,阪急杯(G3),16,8,15,10.9,6,13,熊沢重文,54,芝1400,良,1:22.0,1.1,10-13,33.6-35.9,35.7,478(-4),ゴールドマウンテン,&nbsp;
38,1994/05/15,2東京8,小雨,11,安田記念(G1),16,2,3,107.8,15,10,鹿戸雄一,57,芝1600,良,1:34.3,1.1,13-13,33.8-36.3,36.6,482(+8),ノースフライト,&nbsp;
39,1994/04/24,1新潟2,曇,11,谷川岳S(OP),14,5,8,8.3,4,1,鹿戸雄一,54,芝1600,良,1:34.5,-0.1,5-4,33.9-36.9,36.6,474(-4),(ニュースヴァリュー),"2,300.0"
40,1994/04/03,3中山4,晴,11,ダービー卿チャレンジ(G3),13,2,2,10.8,3,7,芹沢純一,56,芝1200,良,1:10.0,1.1,9-6,33.1-35.8,36.4,478(-6),サクラバクシンオー,&nbsp;
41,1994/03/19,1中京7,晴,11,コーラルS(OP),15,6,11,5.7,2,2,岸滋彦,54,芝1200,良,1:09.6,0.1,9-7,33.5-36.0,35.0,484(+2),ユキミザケ,920.0
42,1994/03/06,1中京4,晴,11,読売マイラーズC(G2),11,7,8,58.6,9,10,鹿戸雄一,56,芝1700,良,1:42.5,1.9,5-5-7-9,29.7-35.6,36.6,482(+2),ノースフライト,&nbsp;
43,1994/02/06,1東京4,晴,11,東京新聞杯(G3),16,2,4,27.5,10,10,鹿戸雄一,53,芝1600,良,1:34.4,0.8,4-4,34.7-35.7,36.2,480(+2),セキテイリュウオー,&nbsp;
44,1994/01/16,1中山6,晴,11,ニューイヤーS(OP),11,7,9,8.3,4,2,鹿戸雄一,54,芝1600,良,1:34.4,0.0,3-3-3,34.2-36.7,36.4,478(+12),キョウエイボナンザ,920.0
45,1993/12/19,5中山6,曇,10,スプリンターズS(G1),14,7,11,100.5,14,7,鹿戸雄一,55,芝1200,良,1:08.8,0.9,9-9,33.2-34.7,34.9,466(0),サクラバクシンオー,&nbsp;
46,1993/11/28,1中京2,晴,11,開設40年シリウスS(OP),16,7,14,13.5,9,8,芹沢純一,53,芝1200,良,1:09.5,0.9,6-4,33.0-35.6,35.8,466(+12),ユウキトップラン,&nbsp;
47,1993/10/30,4東京7,雨,11,アイルランドトロフィ(OP),12,1,1,58.6,10,12,南井克巳,53,芝1600,重,1:37.2,2.7,4-4,34.8-36.8,38.6,454(-14),イイデザオウ,&nbsp;
48,1993/06/27,4京都4,曇,11,CBC賞(G2),12,6,8,15.3,6,7,熊沢重文,54,芝1200,良,1:08.6,0.7,5-5,33.6-34.3,34.3,468(-4),トシグリーン,&nbsp;
49,1993/06/06,3東京6,晴,11,NZT4歳S(G2),12,6,7,6.7,3,4,蛯名正義,56,芝1600,稍,1:35.1,0.5,5-3,34.3-35.7,35.7,472(-2),トーヨーリファール,930.0
50,1993/05/08,2東京5,晴,9,菖蒲S(OP),12,7,10,10.3,7,1,蛯名正義,55,芝1400,良,1:22.3,-0.4,4-3,35.2-35.3,34.6,474(+12),(ホッカイキルディア),"1,800.0"
51,1993/04/17,3中山7,曇,11,クリスタルC(G3),13,5,7,7.6,3,3,芹沢純一,55,芝1200,良,1:08.8,0.5,5-4,33.6-34.7,34.5,462(-4),セントミサイル,"1,000.0"
