,Date,Host,Weather,R_value,Race_name,Total_horse,Bracket_number,Horse_number,Odds,Popularity,Place,Rider,Penalty,Distance,Track_condition,Race_time,Margin,Passing,Pace,Fin,Horse_weight,Loser_horse,Prize
0,2009/11/01,4東京8,晴,11,天皇賞(秋)(G1),18,7,14,39.6,9,13,福永祐一,58,芝2000,良,1:58.5,1.3,7-8-8,35.6-33.7,34.4,492(+2),カンパニー,&nbsp;
1,2009/06/28,3阪神4,晴,10,宝塚記念(G1),14,5,8,8.3,3,2,福永祐一,58,芝2200,良,2:11.6,0.3,5-5-5-2,34.7-35.2,35.0,490(0),ドリームジャーニー,"5,386.4"
2,2009/05/30,3中京3,晴,10,金鯱賞(G2),18,8,17,2.1,1,1,福永祐一,57,芝2000,良,1:58.4,-0.2,7-7-6-4,34.6-34.5,34.0,490(-6),(シャドウゲイト),"6,537.2"
3,2009/02/21,2京都7,晴,11,京都記念(G2),12,7,11,1.8,1,2,福永祐一,57,芝2200,良,2:14.6,0.0,6-6-4-3,36.1-36.0,35.4,496(+4),アサクサキングス,"2,627.6"
4,2008/12/06,5阪神1,晴,11,鳴尾記念(G3),17,8,16,1.8,1,1,福永祐一,56,芝1800,良,1:46.0,-0.5,11-9,34.2-36.0,35.6,492(+6),(ナムラマース),"4,165.8"
5,2008/11/02,4東京8,晴,11,天皇賞(秋)(G1),17,3,5,32.1,7,6,福永祐一,58,芝2000,良,1:57.5,0.3,9-9-9,35.2-35.2,34.5,486(+2),ウオッカ,&nbsp;
6,2008/10/12,4東京2,晴,11,毎日王冠(G2),16,1,1,23.7,7,4,福永祐一,57,芝1800,良,1:45.1,0.5,7-7-7,35.8-33.8,33.4,484(+2),スーパーホーネット,980.0
7,2008/06/29,3阪神4,小雨,10,宝塚記念(G1),14,4,5,40.3,12,4,福永祐一,58,芝2200,重,2:15.6,0.3,7-7-9-11,35.5-37.3,37.0,482(+2),エイシンデピュティ,"2,000.0"
8,2008/05/31,2中京3,小雨,11,金鯱賞(G2),17,3,5,7.4,3,4,福永祐一,57,芝2000,稍,1:59.5,0.4,3-5-5-5,35.3-35.1,35.2,480(-2),エイシンデピュティ,960.0
9,2008/04/26,3京都1,曇,11,オーストラリアT(OP),15,8,14,3.1,2,2,福永祐一,57,芝1800,良,1:47.4,0.0,7-6,35.1-34.2,33.5,482(-4),オーシャンエイプス,972.6
10,2008/01/05,1京都1,晴,11,スポニチ賞京都金杯(G3),16,6,12,7.5,4,4,福永祐一,57.5,芝1600,良,1:34.0,0.4,6-3,35.3-34.6,34.6,486(+4),エイシンデピュティ,650.0
11,2007/11/25,5京都8,晴,11,アンドロメダS(OP),11,1,1,1.5,1,3,Ｍデムー,57.5,芝2000,良,1:58.8,0.1,3-3-3-4,35.9-35.4,35.2,482(-2),アサカディフィート,603.8
12,2007/11/03,5京都1,晴,11,カシオペアS(OP),17,2,3,1.4,1,1,ペリエ,56,芝1800,良,1:45.3,-0.2,3-4,35.2-34.6,34.2,484(0),(ブラックカフェ),"2,437.1"
13,2007/09/02,1札幌8,晴,9,札幌記念(G2),16,5,9,5.5,3,3,岩田康誠,57,芝2000,良,2:00.3,0.2,10-11-11-10,35.5-34.8,33.9,484(+2),フサイチパンドラ,"1,817.8"
14,2007/07/22,2函館4,晴,9,函館記念(G3),10,6,6,4.4,2,3,岩田康誠,57,芝2000,良,2:03.0,0.2,7-8-8-9,37.1-35.9,35.1,482(+12),エリモハリアー,"1,106.3"
15,2007/06/03,3東京6,晴,11,安田記念(G1),18,1,1,39.4,14,13,鮫島良太,58,芝1600,良,1:33.2,0.9,7-7,34.1-34.8,35.1,470(-4),ダイワメジャー,&nbsp;
16,2007/04/14,2阪神7,晴,11,読売マイラーズC(G2),15,1,1,7.2,3,5,岩田康誠,57,芝1600,良,1:33.1,0.9,3-4,34.9-34.0,34.0,474(-2),コンゴウリキシオー,600.0
17,2007/01/06,1京都1,晴,11,スポニチ賞京都金杯(G3),16,5,9,4.9,2,3,岩田康誠,56.5,芝1600,稍,1:34.1,0.2,2-2,35.2-34.9,35.0,476(0),マイネルスケルツィ,"1,109.0"
18,2006/12/09,3阪神3,小雨,11,鳴尾記念(G3),17,2,3,3.7,1,1,ペリエ,55,芝1800,良,1:46.9,-0.1,3-3,35.9-33.6,33.4,476(+8),(マルカシェンク),"4,163.7"
19,2006/10/29,4東京8,晴,11,天皇賞(秋)(G1),16,2,3,41.0,12,9,内田博幸,56,芝2000,良,1:59.9,1.1,4-4-4,35.4-35.6,36.0,468(+2),ダイワメジャー,&nbsp;
20,2006/10/08,4東京2,晴,11,毎日王冠(G2),16,7,14,36.8,13,9,後藤浩輝,55,芝1800,良,1:45.9,0.4,14-14-13,34.7-34.6,34.0,466(+2),ダイワメジャー,&nbsp;
21,2006/05/28,3東京4,晴,10,東京優駿(G1),18,5,9,12.5,6,10,内田博幸,57,芝2400,稍,2:29.2,1.3,8-8-8-8,37.4-35.3,36.0,464(-6),メイショウサムソン,&nbsp;
22,2006/04/16,3中山8,曇,11,皐月賞(G1),18,6,12,8.7,4,6,内田博幸,57,芝2000,良,2:00.5,0.6,16-16-15-13,35.6-35.7,34.6,470(-2),メイショウサムソン,&nbsp;
23,2006/03/05,2中山4,晴,11,報知杯弥生賞(G2),10,1,1,2.9,2,4,安藤勝己,56,芝2000,良,2:02.1,0.6,10-10-10-8,36.2-35.6,35.0,472(0),アドマイヤムーン,810.0
24,2005/12/24,5阪神7,曇,11,ラジオたんぱ杯2歳S(G3),12,5,7,3.7,2,1,安藤勝己,55,芝2000,良,2:01.9,0.0,9-9-9-7,36.3-35.3,34.6,472(0),(アドマイヤムーン),"3,249.0"
25,2005/12/10,5阪神3,晴,9,エリカ賞(500万下),10,8,10,3.2,2,1,安藤勝己,55,芝2000,良,2:03.4,-0.2,5-5-5-3,36.5-35.2,35.0,472(-6),(タマモサポート),"1,023.1"
26,2005/11/12,5京都3,晴,3,2歳未勝利,14,5,7,3.2,1,1,ペリエ,55,芝1800,重,1:49.0,-0.2,7-7,36.3-35.1,34.7,478(+10),(ヴィクトリーラン),500.0
27,2005/08/06,2新潟7,晴,2,2歳未勝利,11,3,3,4.8,3,2,柴田善臣,54,芝1600,良,1:36.3,0.1,10-10,36.3-33.8,32.9,468(-12),サイレントプライド,200.0
28,2005/07/10,3阪神8,曇,5,2歳新馬,16,4,8,25.8,6,4,岩田康誠,54,芝1600,稍,1:39.4,0.6,14-14-14,37.9-35.7,35.3,480(0),ダイアモンドヘッド,110.0
