,Date,Host,Weather,R_value,Race_name,Total_horse,Bracket_number,Horse_number,Odds,Popularity,Place,Rider,Penalty,Distance,Track_condition,Race_time,Margin,Passing,Pace,Fin,Horse_weight,Loser_horse,Prize
0,2005/04/16,3中山7,曇,11,中山グランドジャンプ(J.G1),14,6,9,3.8,2,9,熊沢重文,63.5,障4250,良,4:53.3,2.9,5-6-6-7,107.0-39.6,13.8,472(-6),カラジ,&nbsp;
1,2005/03/26,3中山1,晴,8,ペガサスジャンプS(OP),14,4,6,2.1,1,4,熊沢重文,62,障3350,良,3:43.4,0.3,4-3-3-2,106.0-39.6,13.3,478(-10),バローネフォンテン,270.0
2,2004/12/25,5中山7,晴,10,中山大障害(J.G1),13,4,4,1.7,1,5,熊沢重文,63,障4100,良,4:40.0,2.4,5-3-5-5,107.0-40.2,13.7,488(+8),メルシータカオー,800.0
3,2004/11/13,5京都3,晴,9,京都ハイジャンプ(J.G2),7,6,6,1.6,1,1,熊沢重文,60,障3930,良,4:32.2,-1.6,2-2-1-1,108.0-39.3,13.9,480(0),(ナムラリュージュ),"5,024.5"
4,2004/09/20,4阪神4,晴,9,阪神ジャンプS(J.G3),10,7,7,1.4,1,1,熊沢重文,62,障3170,良,3:29.2,-0.1,4-5-2-2,104.0-39.5,13.2,480(+2),(ローレルロイス),"4,036.4"
5,2004/07/25,2小倉4,晴,10,小倉サマージャンプ(J.G3),11,4,4,1.5,1,1,熊沢重文,61,障3390,良,3:41.4,-0.3,3-2-2-2,103.0-38.2,13.1,478(-6),(シンメイロッチ),"3,539.9"
6,2004/07/03,3阪神5,晴,4,障害3歳以上OP,8,6,6,1.7,1,1,熊沢重文,61,障3140,良,3:26.7,-1.5,2-2-2-2,104.0-39.2,13.2,484(+2),(ロングクリムゾン),"1,500.0"
7,2004/06/05,2中京5,晴,5,障害3歳以上OP,11,3,3,5.7,4,1,熊沢重文,60,障3370,良,3:40.1,-1.5,1-1-1-1,105.0-38.9,13.1,482(0),(チアズシャイニング),"1,500.0"
8,2004/05/15,3京都7,曇,9,京都ジャンプS(J.G3),14,7,11,12.4,6,6,岩崎祐己,58,障3170,良,3:34.7,2.9,7-7-6-6,106.0-39.7,13.5,482(-8),クールジョイ,&nbsp;
9,2004/02/29,1阪神2,曇,5,障害4歳以上未勝利,14,5,8,3.1,2,1,熊沢重文,60,障3000,不,3:22.4,-0.9,2-2-2-1,106.0-38.8,13.5,490(-10),(トッププロテクター),850.0
10,2004/02/15,2京都6,小雨,5,障害4歳以上未勝利,14,8,14,2.4,1,5,熊沢重文,60,障2930,良,3:20.0,1.7,5-4-4-4,107.0-39.8,13.7,500(+2),オレンジボウル,85.0
11,2004/02/01,2京都2,晴,5,障害4歳以上未勝利,14,6,10,5.5,3,5,高橋康之,60,障2930,良,3:21.9,5.0,11-11-10-8,108.0-39.6,13.8,498(+14),シアトルリーダー,85.0
12,2003/12/28,5阪神8,晴,11,ベテルギウスS(OP),14,5,7,23.9,8,10,村田一誠,56,ダ1800,良,1:53.6,1.7,14-14-5-7,37.7-36.9,38.1,484(+4),シロキタゴッドラン,&nbsp;
13,2003/12/13,6中山3,晴,11,師走S(OP),9,6,6,8.7,4,4,蛯名正義,56,ダ1800,稍,1:53.5,0.9,8-8-2-3,36.5-38.3,39.2,480(-4),ピットファイター,360.0
14,2003/12/07,3中京2,晴,11,春待月S(OP),10,3,3,4.5,3,2,上村洋行,55,ダ2300,良,2:26.7,0.5,6-6-2-2,31.1-38.4,38.8,484(+6),ホーマンベルウィン,967.0
15,2003/11/23,4東京6,曇,11,霜月S(OP),15,2,2,5.1,2,8,後藤浩輝,55,ダ1400,稍,1:25.2,1.7,14-15,35.6-36.0,36.3,478(-2),ブルーコンコルド,&nbsp;
16,2003/10/18,4京都3,晴,10,エニフS(OP),15,5,9,4.2,2,6,武豊,56,ダ1800,良,1:53.3,0.9,13-13-10-8,36.9-37.8,37.9,480(-4),ホーマンベルウィン,&nbsp;
17,2003/08/24,3小倉4,曇,11,阿蘇S(OP),15,1,1,2.3,1,4,安藤勝己,55,ダ1700,良,1:44.4,0.2,13-11-7-6,30.0-36.6,36.4,484(0),インタータイヨウ,360.0
18,2003/07/27,2小倉4,晴,11,KBC杯(OP),12,4,4,1.2,1,2,武豊,56,ダ1700,良,1:44.1,0.2,10-10-9-8,30.2-37.0,36.2,484(+4),インタータイヨウ,968.4
19,2003/06/15,2中京8,曇,10,香港JCT(1600万下),16,6,11,1.8,1,1,武豊,57,ダ1700,重,1:42.9,-0.9,15-15-2-1,28.6-36.6,36.4,480(+2),(ロスタイム),"1,837.1"
20,2003/05/31,2中京3,曇,10,御嶽特別(1000万下),16,7,13,2.7,1,1,武豊,58,ダ1700,重,1:42.9,-1.1,13-13-1-1,29.0-36.0,36.0,478(+4),(アネストウイッシュ),"1,495.5"
21,2003/05/04,3京都4,晴,12,桃山特別(1000万下),16,1,2,4.3,1,3,武豊,58,ダ1800,良,1:53.3,0.2,7-9-12-11,36.9-38.2,37.2,474(-8),ウインスヴェルト,365.8
22,2003/03/30,2阪神2,晴,10,四国新聞杯(1000万下),16,3,5,4.6,2,9,上村洋行,58,ダ1800,良,1:54.9,1.1,9-11-11-10,36.6-39.4,39.0,482(-8),ベラージオ,&nbsp;
23,2002/12/22,3中京8,曇,10,矢作川特別(1000万下),16,8,15,4.4,2,8,上村洋行,58,ダ1700,重,1:45.2,1.0,7-7-5-4,28.9-38.0,38.6,490(+2),タイムパラドックス,&nbsp;
24,2002/12/08,5中山4,曇,12,筑波山特別(1000万下),16,8,15,1.6,1,3,武豊,58,ダ1800,不,1:54.1,0.3,5-5-4-3,36.9-39.1,39.2,488(0),ヘイアンエルドラド,366.3
25,2002/11/17,5京都6,晴,12,花背特別(1000万下),16,3,5,1.7,1,2,武豊,58,ダ1800,良,1:52.9,0.4,9-9-8-3,36.1-38.5,38.1,488(+8),サンライズキング,591.2
26,2002/10/13,4京都4,晴,12,愛宕特別(1000万下),16,1,1,2.5,1,2,武豊,58,ダ1800,良,1:52.2,0.1,5-5-7-5,36.4-38.2,37.8,480(-14),トヨサンランボー,591.0
27,2002/09/15,2札幌4,晴,12,オホーツクH(1000万下),13,7,11,1.4,1,6,上村洋行,58,ダ1700,良,1:47.4,0.9,6-5-3-4,29.3-40.3,40.8,494(+10),メイショウメイジン,&nbsp;
28,2002/08/18,1札幌4,晴,10,スポニチオーロラ特別(1000万下),13,6,8,1.7,1,1,上村洋行,57,ダ1700,良,1:46.2,0.0,3-4-2-1,29.9-37.8,37.6,484(+18),(チアリーダー),"1,487.1"
29,2002/05/25,2中京3,晴,10,名古屋城S(1600万下),16,5,9,7.1,3,4,上村洋行,56,ダ1700,良,1:45.7,1.1,12-12-7-7,29.2-37.3,37.9,466(-10),ゲイリーエクシード,270.0
30,2002/05/03,3京都5,晴,10,上賀茂S(1600万下),11,8,11,3.7,2,4,上村洋行,56.5,ダ1800,良,1:52.3,1.1,3-3-3-3,37.5-36.8,37.6,476(-2),ドラゴンマックス,270.0
31,2002/04/13,2阪神7,晴,8,4歳以上1000万下,16,3,6,1.8,1,1,上村洋行,56,ダ1800,良,1:53.0,-0.4,3-2-2-2,37.4-37.8,37.7,478(+2),(クラクエンリーグ),"1,050.0"
32,2001/11/17,5京都5,曇,10,北大路特別(1000万下),18,6,12,3.0,1,17,上村洋行,55,芝2000,良,2:01.4,1.2,9-8-7-8,35.9-35.3,36.1,476(+4),アドマイヤロード,&nbsp;
33,2001/10/14,4京都4,晴,12,愛宕特別(1000万下),16,4,7,1.4,1,3,上村洋行,55,ダ1800,良,1:52.9,0.4,6-4-4-5,36.9-37.8,37.8,472(-4),ダブルハピネス,366.0
34,2001/09/16,2札幌6,晴,9,釧路特別(500万下),9,2,2,1.0,1,1,上村洋行,55,ダ1700,良,1:44.7,-1.3,3-3-2-1,29.9-38.1,38.1,476(0),(タニノゴット),"1,083.6"
35,2001/08/26,1札幌8,晴,4,3歳未勝利,13,8,12,1.8,1,1,上村洋行,55,ダ1700,良,1:44.3,-3.0,1-1-1-1,29.5-37.1,37.1,476(-6),(サンダーアクション),510.0
36,2001/08/11,1札幌3,曇,4,3歳未勝利,16,8,15,4.6,2,2,上村洋行,55,芝2000,良,2:04.4,0.1,6-6-4-2,37.2-35.5,35.1,482(0),ウインシュナイト,200.0
