,Date,Host,Weather,R_value,Race_name,Total_horse,Bracket_number,Horse_number,Odds,Popularity,Place,Rider,Penalty,Distance,Track_condition,Race_time,Margin,Passing,Pace,Fin,Horse_weight,Loser_horse,Prize
0,2008/05/31,2中京3,小雨,11,金鯱賞(G2),17,8,17,19.6,8,中,藤岡佑介,58,芝2000,稍,&nbsp;,&nbsp;,3-3-4-7,35.3-35.1,&nbsp;,464(+2),エイシンデピュティ,&nbsp;
1,2008/03/09,1中京4,晴,11,トヨタ賞中京記念(G3),18,6,11,5.5,1,7,藤岡佑介,58,芝2000,良,1:58.6,0.2,5-5-2-1,34.8-35.1,35.3,462(-2),タスカータソルテ,&nbsp;
2,2007/11/25,5東京8,晴,10,ジャパンC(G1),18,7,15,224.5,17,15,藤岡佑介,57,芝2400,良,2:26.4,1.7,12-12-13-15,35.6-34.3,35.0,464(0),アドマイヤムーン,&nbsp;
3,2007/10/28,4東京9,晴,11,天皇賞(秋)(G1),16,3,5,58.1,13,11,藤岡佑介,58,芝2000,稍,1:59.5,1.1,13-13-10,36.1-35.0,35.2,464(+6),メイショウサムソン,&nbsp;
4,2007/05/26,2中京3,晴,11,金鯱賞(G2),12,6,8,3.3,1,1,藤岡佑介,57,芝2000,良,1:57.2,0.0,6-6-5-2,33.9-36.0,35.4,458(-6),(スウィフトカレント),"6,496.6"
5,2007/03/04,1中京2,晴,11,トヨタ賞中京記念(G3),16,1,1,10.4,4,1,藤岡佑介,57,芝2000,良,1:56.9,-0.3,8-7-8-4,33.7-35.7,35.2,464(-4),(シルクネクサス),"4,360.9"
6,2007/02/17,2京都7,雨,11,京都記念(G2),14,6,10,36.7,9,13,小牧太,57,芝2200,稍,2:18.8,1.6,7-10-8-8,38.6-35.6,36.6,468(+18),アドマイヤムーン,&nbsp;
7,2006/10/29,4東京8,晴,11,天皇賞(秋)(G1),16,8,17,54.4,15,13,後藤浩輝,58,芝2000,良,2:00.9,2.1,14-15-13,35.4-35.6,35.4,450(-6),ダイワメジャー,&nbsp;
8,2006/10/08,5京都2,晴,11,京都大賞典(G2),11,5,5,6.7,4,4,小牧太,57,芝2400,良,2:31.7,0.2,1-1-1-1,36.6-33.3,33.5,456(+4),スイープトウショウ,980.0
9,2006/05/27,2中京3,曇,11,金鯱賞(G2),10,6,6,2.6,1,2,安藤勝己,57,芝2000,良,1:59.3,0.5,6-6-6-5,35.5-35.3,34.3,452(-4),コンゴウリキシオー,"2,623.2"
10,2006/04/30,3京都4,晴,11,天皇賞(春)(G1),17,2,4,40.8,6,8,安藤勝己,58,芝3200,良,3:15.2,1.8,7-6-4-2,36.2-33.5,35.1,456(-14),ディープインパクト,&nbsp;
11,2006/04/02,2阪神4,雨,11,産経大阪杯(G2),12,4,4,2.0,1,5,武豊,57,芝2000,重,2:05.0,0.5,7-7-6-5,36.9-37.8,37.8,470(+2),カンパニー,640.0
12,2006/03/05,1中京2,晴,11,トヨタ賞中京記念(G3),13,7,10,4.8,4,2,柴山雄一,57,芝2000,良,1:58.3,0.1,9-9-9-3,33.5-36.6,35.9,468(-4),マチカネオーラ,"1,714.6"
13,2005/10/23,4京都6,晴,11,菊花賞(G1),16,2,4,25.3,3,3,安藤勝己,57,芝3000,良,3:05.6,1.0,4-4-4-3,36.3-35.7,34.8,472(-2),ディープインパクト,"3,378.1"
14,2005/09/25,4阪神6,曇,11,神戸新聞杯(G2),13,4,5,36.2,6,3,安藤勝己,56,芝2000,良,1:58.9,0.5,8-8-8-5,35.1-35.0,34.8,474(+12),ディープインパクト,"1,413.6"
15,2005/05/29,3東京4,晴,10,東京優駿(G1),18,2,3,27.1,4,8,安藤勝己,57,芝2400,良,2:25.0,1.7,12-13-14-15,35.5-34.5,34.8,462(0),ディープインパクト,&nbsp;
16,2005/04/17,3中山8,晴,11,皐月賞(G1),18,7,13,16.8,4,9,安藤勝己,57,芝2000,良,2:00.3,1.1,15-15-13-10,35.0-34.5,34.8,462(0),ディープインパクト,&nbsp;
17,2005/03/26,2阪神1,曇,11,毎日杯(G3),14,4,6,2.3,2,1,安藤勝己,57,芝2000,良,2:02.2,-0.2,7-6-5-4,37.4-34.7,34.1,462(+2),(コスモオースティン),"4,253.2"
18,2004/12/25,5阪神7,晴,11,ラジオたんぱ杯2歳S(G3),9,2,2,1.7,1,2,安藤勝己,55,芝2000,良,2:03.7,0.2,5-5-5-3,38.8-34.0,33.7,460(-2),ヴァーミリアン,"1,310.6"
19,2004/11/27,5京都7,晴,9,京都2歳S(OP),10,3,3,3.1,2,1,安藤勝己,55,芝2000,良,2:04.7,-0.2,7-7-4-6,38.4-33.8,33.3,462(-4),(ヴァーミリアン),"1,625.2"
20,2004/11/07,5京都2,晴,3,2歳未勝利,14,8,13,1.5,1,1,武豊,55,芝2000,良,2:02.8,-0.6,7-8-6-5,35.9-36.2,35.7,466(0),(ローズアライヴァル),500.0
21,2004/10/17,4京都4,晴,3,2歳新馬,14,4,6,6.6,3,2,蛯名正義,55,芝1600,良,1:35.2,0.0,9-9,35.4-35.7,34.9,466(0),オースミグラスワン,280.0
