,Date,Host,Weather,R_value,Race_name,Total_horse,Bracket_number,Horse_number,Odds,Popularity,Place,Rider,Penalty,Distance,Track_condition,Race_time,Margin,Passing,Pace,Fin,Horse_weight,Loser_horse,Prize
0,2018/12/02,4中京2,晴,11,チャンピオンズC(G1),15,8,15,75.5,10,13,三浦皇成,57,ダ1800,良,1:51.8,1.7,4-3-3-3,37.1-35.9,37.4,506(+4),ルヴァンスレーヴ,&nbsp;
1,2018/11/10,5東京3,晴,11,東京中日S杯武蔵野S(G3),16,8,16,7.2,4,6,三浦皇成,57,ダ1600,稍,1:35.6,0.9,5-7,34.8-36.1,36.1,502(-4),サンライズノヴァ,&nbsp;
2,2018/07/08,3中京4,晴,11,プロキオンS(G3),14,4,6,4.2,1,2,三浦皇成,57,ダ1400,不,1:21.0,0.7,10-11,33.5-35.6,35.4,506(+2),マテラスカイ,"1,414.0"
3,2018/05/02,船橋,雨,11,かしわ記念(G1),12,8,11,2.8,1,3,三浦皇成,57,ダ1600,良,1:39.4,0.2,6-6-4-3,36.6-37.5,37.4,504(-8),ゴールドドリーム,"1,200.0"
4,2018/02/18,1東京8,晴,11,フェブラリーS(G1),16,3,6,20.0,6,3,三浦皇成,57,ダ1600,良,1:36.1,0.1,7-6,34.1-37.7,36.7,512(+5),ノンコノユメ,"2,548.6"
5,2017/12/29,大井,晴,10,東京大賞典競走(G1),16,5,10,5.9,4,7,三浦皇成,57,ダ2000,良,2:05.9,1.7,3-3-3-3,35.5-37.1,38.5,507(+5),コパノリッキー,&nbsp;
6,2017/11/11,5東京3,晴,11,東京中日S杯武蔵野S(G3),16,7,13,13.9,6,1,三浦皇成,57,ダ1600,良,1:35.5,-0.1,2-2,35.1-35.5,35.4,502(-8),(サンライズソア),"3,858.8"
7,2017/10/03,金沢,曇,11,白山大賞典(G3),10,8,10,2.0,1,1,岩田康誠,56,ダ2100,不,2:13.6,-0.5,2-2-1-1,&nbsp;,39.7,510(+6),(カツゲキキトキト),"2,100.0"
8,2017/05/05,船橋,晴,11,かしわ記念(G1),10,2,2,6.9,5,2,岩田康誠,57,ダ1600,良,1:40.3,0.4,5-4-3-4,36.6-38.4,38.6,504(0),コパノリッキー,"2,100.0"
9,2017/03/26,3中山2,小雨,11,マーチS(G3),16,2,4,25.4,10,1,勝浦正樹,57.5,ダ1800,稍,1:52.0,-0.1,3-3-5-3,36.6-38.6,38.3,504(-2),(ディアデルレイ),"3,657.4"
10,2017/02/19,1東京8,晴,11,フェブラリーS(G1),16,8,16,125.0,15,13,藤岡康太,57,ダ1600,良,1:36.5,1.4,1-1,34.0-36.1,37.5,506(-6),ゴールドドリーム,&nbsp;
11,2017/01/22,1中京4,曇,11,東海テレビ杯東海S(G2),16,3,5,11.9,4,12,藤岡康太,56,ダ1800,良,1:54.2,1.0,10-10-11-11,38.1-37.1,37.4,512(+4),グレンツェント,&nbsp;
12,2016/11/06,5京都2,曇,11,みやこS(G3),16,5,10,27.5,9,8,藤岡康太,56,ダ1800,良,1:51.0,0.9,2-2-2-2,36.2-36.8,37.6,508(+6),アポロケンタッキー,&nbsp;
13,2016/01/24,1中京4,晴,11,東海テレビ杯東海S(G2),12,6,7,4.3,3,11,内田博幸,56,ダ1800,良,1:54.1,2.2,9-8-5-5,37.8-36.8,38.6,502(+4),アスカノロマン,&nbsp;
14,2015/05/23,3京都9,曇,11,平安S(G3),16,1,1,6.2,4,1,内田博幸,57,ダ1900,良,1:55.1,-0.3,1-1-1-1,29.4-36.7,36.7,498(+10),(クリノスターオー),"3,558.8"
