,Date,Host,Weather,R_value,Race_name,Total_horse,Bracket_number,Horse_number,Odds,Popularity,Place,Rider,Penalty,Distance,Track_condition,Race_time,Margin,Passing,Pace,Fin,Horse_weight,Loser_horse,Prize
0,2000/06/25,3阪神4,雨,11,宝塚記念(G1),11,8,11,2.8,2,6,蛯名正義,58,芝2200,良,2:14.7,0.9,7-7-6-7,35.7-36.0,36.5,506(-4),テイエムオペラオー,&nbsp;
1,2000/05/14,2東京8,曇,11,京王杯スプリングC(G2),18,4,8,2.4,1,9,的場均,59,芝1400,良,1:21.6,0.6,13-13,34.8-34.6,34.5,510(-20),スティンガー,&nbsp;
2,2000/03/26,3中山2,晴,11,日経賞(G2),10,7,7,1.3,1,6,的場均,59,芝2500,良,2:36.3,0.9,6-6-6-5,31.3-36.3,36.1,530(+18),レオリュウホウ,&nbsp;
3,1999/12/26,5中山8,晴,9,有馬記念(G1),14,4,7,2.8,1,1,的場均,57,芝2500,良,2:37.2,0.0,11-10-7-3,32.8-35.3,34.6,512(+12),(スペシャルウィーク),"13,523.4"
4,1999/10/10,4東京2,晴,11,毎日王冠(G2),10,7,8,1.2,1,1,的場均,59,芝1800,良,1:45.8,0.0,5-4-4,35.6-35.1,34.7,500(-4),(メイショウオウドウ),"6,477.0"
5,1999/07/11,3阪神8,晴,11,宝塚記念(G1),12,5,5,2.8,2,1,的場均,58,芝2200,良,2:12.1,-0.5,6-6-6-2,36.3-35.4,35.1,504(+6),(スペシャルウィーク),"13,464.6"
6,1999/06/13,3東京8,晴,11,安田記念(G1),14,5,7,1.3,1,2,的場均,58,芝1600,良,1:33.3,0.0,8-5,35.2-35.4,35.2,498(0),エアジハード,"3,896.0"
7,1999/05/15,2東京7,曇,11,京王杯スプリングC(G2),18,3,5,2.1,1,1,的場均,58,芝1400,良,1:20.5,-0.1,9-9,34.9-34.1,33.3,498(0),(エアジハード),"6,145.6"
8,1998/12/27,5中山8,曇,9,有馬記念(G1),16,1,2,14.5,4,1,的場均,55,芝2500,良,2:32.1,-0.1,8-8-6-4,32.0-36.4,35.3,498(+2),(メジロブライト),"13,548.6"
9,1998/11/07,5東京1,曇,11,アルゼンチン共和国杯(G2),18,7,13,3.0,1,6,的場均,57,芝2500,良,2:33.5,0.6,4-3-3-3,30.5-35.0,35.3,496(+10),ユーセイトップラン,&nbsp;
10,1998/10/11,4東京2,晴,11,毎日王冠(G2),9,6,6,3.7,2,5,的場均,55,芝1800,良,1:46.4,1.5,5-4-2,34.6-35.1,36.3,486(0),サイレンススズカ,640.0
11,1997/12/07,5中山4,曇,11,朝日杯3歳S(G1),15,6,11,1.3,1,1,的場均,54,芝1600,良,1:33.6,-0.4,7-7-5,34.3-36.5,35.4,486(-2),(マイネルラヴ),"5,412.0"
12,1997/11/08,5東京3,晴,11,京成杯3歳S(G2),9,2,2,1.1,1,1,的場均,54,芝1400,良,1:21.9,-1.0,2-2,35.3-34.8,34.7,488(+2),(マチカネサンシロー),"3,836.4"
13,1997/10/12,4東京4,晴,9,アイビーS(OP),9,8,8,1.4,1,1,的場均,53,芝1400,良,1:21.9,-0.8,7-7,35.4-34.7,34.0,486(+6),(マチカネサンシロー),"1,621.0"
14,1997/09/13,4中山3,曇,7,3歳新馬,10,8,9,1.5,1,1,的場均,53,芝1800,良,1:52.4,-0.5,2-2-2-2,39.2-35.6,35.6,480(0),(ビルトシェーン),600.0
