,Date,Host,Weather,R_value,Race_name,Total_horse,Bracket_number,Horse_number,Odds,Popularity,Place,Rider,Penalty,Distance,Track_condition,Race_time,Margin,Passing,Pace,Fin,Horse_weight,Loser_horse,Prize
0,2007/06/10,3東京8,曇,11,エプソムC(G3),18,3,5,39.7,12,10,田中剛,56,芝1800,稍,1:49.4,1.1,2-2-1,35.5-35.8,36.9,484(-10),エイシンデピュティ,&nbsp;
1,2007/04/08,3中山6,晴,11,エイプリルS(OP),8,8,8,19.4,6,1,田中剛,55,芝2000,良,1:59.8,-0.1,2-2-2-2,36.8-35.6,35.6,494(-6),(マチカネオーラ),"2,418.9"
2,2007/03/04,1中京2,晴,11,トヨタ賞中京記念(G3),16,6,12,41.7,12,11,川島信二,53,芝2000,良,1:58.1,1.2,5-5-3-6,33.7-35.7,36.6,500(+4),ローゼンクロイツ,&nbsp;
3,2007/02/25,2中山2,晴,11,中山記念(G2),16,5,10,276.3,15,8,田中剛,57,芝1800,良,1:47.8,0.6,7-6-5-5,36.6-36.0,36.1,496(+12),ローエングリン,&nbsp;
4,2006/12/16,5中山5,曇,11,ディセンバーS(OP),11,7,8,37.8,10,9,蛯名正義,55,芝1800,良,1:49.2,0.7,11-11-11-11,37.0-34.4,34.2,484(0),イースター,&nbsp;
5,2006/11/26,6京都8,小雨,11,アンドロメダS(OP),12,7,10,45.4,10,5,赤木高太,54,芝2000,良,2:01.0,0.6,3-3-3-3,37.1-35.1,35.5,484(+4),アサカディフィート,240.0
6,2006/11/11,3福島7,雨,11,福島記念(G3),16,6,12,55.8,14,6,赤木高太,54,芝2000,重,2:04.4,0.5,13-14-11-15,35.6-38.1,38.0,480(-8),サンバレンティン,&nbsp;
7,2006/09/24,4中山6,晴,11,産経賞オールカマー(G2),15,5,8,33.3,8,11,イネス,57,芝2200,良,2:13.0,0.9,4-4-5-6,36.7-35.8,36.3,488(+4),バランスオブゲーム,&nbsp;
8,2006/09/09,3中京1,曇,11,朝日チャレンジC(G3),12,5,6,39.0,9,7,イネス,56,芝2000,良,1:58.1,0.7,3-3-2-2,35.0-35.0,35.6,484(0),トリリオンカット,&nbsp;
9,2006/08/20,1札幌4,晴,9,札幌記念(G2),15,5,9,111.9,12,11,須貝尚介,57,芝2000,良,2:01.1,0.8,15-15-12-14,36.0-34.3,34.1,484(-4),アドマイヤムーン,&nbsp;
