,Date,Host,Weather,R_value,Race_name,Total_horse,Bracket_number,Horse_number,Odds,Popularity,Place,Rider,Penalty,Distance,Track_condition,Race_time,Margin,Passing,Pace,Fin,Horse_weight,Loser_horse,Prize
0,2021/06/06,4中京2,小雨,1,障害3歳以上OP,12,5,6,17.1,7,中,北沢伸也,60,障3330,良,&nbsp;,&nbsp;,3,104.0-39.8,&nbsp;,518(+4),グランソード,&nbsp;
1,2021/05/08,2新潟1,晴,1,障害4歳以上OP,14,1,1,10.6,5,12,北沢伸也,60,障2890,良,3:11.8,2.3,10-10-5-5,104.0-38.7,13.3,514(+16),サーブルオール,&nbsp;
2,2020/12/26,5中山7,晴,10,中山大障害(J.G1),16,8,16,87.2,10,11,北沢伸也,63,障4100,良,4:44.5,3.8,9-10-12-11,106.0-38.4,13.9,498(0),メイショウダッサイ,&nbsp;
3,2020/12/05,5中山1,小雨,8,イルミネーションJS(OP),11,7,9,4.0,2,5,北沢伸也,60,障3570,稍,4:05.1,1.5,6-5-4-4,106.0-39.0,13.7,498(0),エンシュラウド,165.0
4,2020/11/01,3福島2,晴,4,障害3歳以上未勝利,9,8,9,3.7,3,1,北沢伸也,60,障2750,良,3:02.1,0.0,4-5-2-1,105.0-37.9,13.2,498(0),(アーネストホープ),790.0
