,Date,Host,Weather,R_value,Race_name,Total_horse,Bracket_number,Horse_number,Odds,Popularity,Place,Rider,Penalty,Distance,Track_condition,Race_time,Margin,Passing,Pace,Fin,Horse_weight,Loser_horse,Prize
0,1993/10/31,4東京8,晴,10,天皇賞(秋)(G1),17,7,13,29.5,12,13,松本達也,58,芝2000,良,2:00.7,1.8,8-6-6,35.4-36.4,37.5,492(+2),ヤマニンゼファー,&nbsp;
1,1993/10/10,5京都2,晴,11,京都大賞典(G2),10,8,10,24.4,5,3,松本達也,58,芝2400,良,2:23.3,0.6,4-4-1-3,34.3-35.7,36.3,490(0),メジロマックイーン,"1,600.0"
2,1993/07/11,4京都8,晴,11,高松宮杯(G2),14,3,3,15.1,5,6,松本達也,58,芝2000,良,2:00.0,1.0,7-8-2-6,36.5-35.2,35.8,490(-8),ロンシャンボーイ,&nbsp;
3,1993/06/13,3阪神8,雨,10,宝塚記念(G1),11,1,1,70.1,10,3,松本達也,56,芝2200,良,2:18.1,0.4,7-3-1-1,35.8-38.2,38.6,498(-6),メジロマックイーン,"3,300.0"
4,1993/04/04,2阪神4,雨,11,産經大阪杯(G2),16,2,4,43.6,9,8,松本達也,58,芝2000,良,2:04.9,1.6,5-6-10-15,36.9-37.1,49.9,504(+4),メジロマックイーン,&nbsp;
5,1993/02/21,2京都8,雨,10,京都記念(G2),13,4,4,5.4,2,12,松本達也,59.5,芝2400,稍,2:26.8,0.8,3-3-3-5,35.8-36.6,48.9,500(0),パリスハーリー,&nbsp;
6,1993/02/13,2京都5,晴,11,すばるS(OP),10,8,9,4.3,2,6,松本達也,61,芝2000,良,2:01.2,1.0,4-4-4-2,35.5-35.8,48.4,500(+2),ヤマニンフォックス,&nbsp;
7,1993/01/24,1京都8,曇,11,日経新春杯(G2),12,7,10,4.9,2,4,松本達也,58,芝2200,良,2:14.3,0.3,2-2-2-1,37.3-35.3,47.3,498(-4),エルカーサリバー,960.0
8,1992/12/27,5中山8,晴,9,有馬記念(G1),16,5,9,33.4,11,5,松本達也,56,芝2500,良,2:33.8,0.3,4-3-3-3,30.8-37.3,35.2,502(+6),メジロパーマー,"1,300.0"
9,1992/11/29,5京都8,晴,10,トパーズS(OP),10,7,9,2.0,1,1,松本達也,59,芝2000,良,2:00.3,-0.4,2-2-2-2,37.0-36.1,47.1,496(-4),(ヤマニンシアトル),"2,300.0"
10,1992/11/01,4東京8,晴,10,天皇賞(秋)(G1),18,8,16,26.3,8,12,松本達也,58,芝2000,良,1:59.6,1.0,11-9-8,34.6-37.8,37.8,500(+4),レッツゴーターキン,&nbsp;
11,1992/10/11,4京都2,曇,11,京都大賞典(G2),14,3,4,13.7,3,1,松本達也,58,芝2400,良,2:24.6,-0.2,2-2-2-1,36.1-35.7,47.0,496(0),(ヒシマサル),"6,400.0"
12,1992/07/12,2中京8,晴,11,高松宮杯(G2),18,7,13,11.6,6,11,松本達也,58,芝2000,稍,2:02.2,1.6,2-3-10-15,34.2-37.9,38.1,496(-2),ミスタースペイン,&nbsp;
13,1992/06/14,3阪神8,晴,10,宝塚記念(G1),13,2,2,46.5,12,4,松本達也,57,芝2200,良,2:20.6,2.0,3-2-3-5,37.0-39.8,53.8,498(+4),メジロパーマー,"2,000.0"
14,1992/05/03,3京都4,晴,11,オーストラリアT(OP),10,8,10,2.9,2,3,南井克巳,58,芝1800,良,1:47.8,0.3,2-2,35.5-35.5,47.5,494(-2),ステイジヒーロー,580.0
15,1992/03/15,2中山6,曇,10,中山記念(G2),12,7,10,3.5,1,10,田原成貴,57,芝1800,良,1:49.3,0.8,5-5-4-6,36.9-35.5,35.4,496(-4),ダイナマイトダディ,&nbsp;
16,1992/02/23,2京都8,晴,11,京都記念(G2),10,7,8,6.6,4,1,田原成貴,56,芝2400,良,2:28.4,-0.2,1-1-1-1,37.1-34.0,45.7,500(0),(メイショウハブオー),"5,800.0"
17,1992/02/15,2京都5,曇,11,すばるS(OP),11,8,10,2.9,2,1,武豊,55,芝2000,良,2:02.2,-0.2,2-2-2-1,38.0-35.5,47.2,500(+4),(ヤマニンシアトル),"2,300.0"
