,Date,Host,Weather,R_value,Race_name,Total_horse,Bracket_number,Horse_number,Odds,Popularity,Place,Rider,Penalty,Distance,Track_condition,Race_time,Margin,Passing,Pace,Fin,Horse_weight,Loser_horse,Prize
0,2000/04/15,3中山7,雨,11,中山グランドジャンプ(J.G1),16,5,10,103.5,14,11,山本康志,63,障4100,稍,4:48.6,5.5,5-5-9-10,109.0-40.5,14.1,464(-10),ゴーカイ,&nbsp;
1,2000/03/11,1阪神5,小雨,10,阪神Sジャンプ(J.G2),13,4,5,69.5,12,6,田中剛,63,障3900,良,4:24.0,2.9,4-4-4-5,107.0-39.1,13.5,474(0),ファンドリロバリー,&nbsp;
2,2000/02/05,1東京3,晴,8,春麗ジャンプS(OP),13,4,5,110.1,10,9,マジョル,63,障3300,良,3:41.7,1.9,1-1-1-1,105.0-39.3,13.4,474(-10),メイショウワカシオ,&nbsp;
3,2000/01/08,1京都3,曇,8,牛若丸ジャンプS(OP),11,3,3,56.4,10,10,田中剛,63,障3170,良,3:36.6,3.3,3-3-4-5,110.0-40.5,13.7,484(+8),ホーマンランドオー,&nbsp;
4,1999/12/18,5中山5,曇,10,中山大障害(J.G1),15,5,8,27.6,7,13,嘉堂信雄,62,障4100,良,4:48.9,6.3,3-4-7-9,108.0-39.4,14.1,476(0),ゴッドスピード,&nbsp;
5,1999/10/30,4京都7,晴,5,障害4歳以上OP,8,5,5,17.0,6,5,白浜雄造,61,障3760,良,4:19.7,1.9,5-5-5-4,108.0-39.2,13.8,476(+12),ポリッシュボーイ,150.0
6,1999/10/10,4東京2,晴,5,障害4歳以上OP,9,5,5,20.3,9,6,嘉堂信雄,63,障3300,良,3:42.7,2.5,2-2-4-5,106.0-38.9,13.5,464(-10),メイショウデンセツ,&nbsp;
7,1999/06/12,3東京7,晴,10,東京ハイジャンプ(J.G2),13,7,10,23.1,7,9,大江原隆,63,障3300,良,3:42.1,4.3,5-5-5-6,106.0-40.9,13.5,474(+4),レガシーロック,&nbsp;
8,1999/05/16,3京都8,曇,9,京都ジャンプS(J.G3),13,5,6,11.2,7,9,田中剛,62.5,障3170,良,3:38.5,5.2,7-7-8-8,109.0-42.8,13.8,470(0),トキオワイルド,&nbsp;
9,1999/04/11,3中山6,雨,10,中山グランドジャンプ(J.G1),10,8,10,9.9,4,2,田中剛,62,障4100,不,4:57.2,1.0,3-3-2-2,117.0-44.1,14.5,470(-4),メジロファラオ,"3,210.8"
10,1999/03/14,1阪神6,晴,10,阪神Sジャンプ(J.G2),14,7,11,32.0,7,3,田中剛,63,障3800,良,4:19.5,1.4,2-2-2-3,104.0-37.8,13.7,474(-2),ファイブポインター,"1,307.5"
11,1999/02/20,1東京7,晴,8,春麗ジャンプS(OP),9,8,9,16.5,6,6,嘉堂信雄,63,障3300,良,3:43.5,4.0,4-4-7-6,109.0-41.7,13.5,476(+8),ゴッドスピード,&nbsp;
12,1998/12/19,5中山5,晴,9,中山大障害(秋)(G),8,2,2,16.4,5,3,嘉堂信雄,61,障4100,良,4:45.9,1.8,2-2-2-1,111.0-40.0,13.9,468(-4),ビクトリーアップ,"1,404.0"
13,1998/11/15,5東京4,晴,5,障害4歳以上OP,11,2,2,19.5,7,4,武士沢友,61,障3300,良,3:39.4,0.7,1-1-1-1,105.0-39.6,13.3,472(+2),ビクトリーアップ,210.0
14,1998/10/17,5京都3,雨,5,障害4歳以上OP,8,7,7,16.8,5,5,嘉堂信雄,62,障3170,不,3:43.7,3.4,4-4-6-6,109.0-41.1,14.1,470(-4),レガシークレスト,140.0
15,1998/05/16,3京都7,雨,9,京都大障害(春)(G),8,8,8,6.6,3,4,嘉堂信雄,64,障3930,良,4:34.5,4.4,4-4-5-6,107.0-39.9,14.0,474(+6),ゴッドスピード,560.0
16,1998/04/18,3中山7,曇,9,中山大障害(春)(G),8,3,3,4.0,3,2,嘉堂信雄,61,障4100,重,4:52.1,5.9,2-2-2-2,115.0-43.7,14.2,468(-8),ノーザンレインボー,"2,308.4"
17,1998/02/14,1東京5,曇,9,東京障害特別(春)(G),12,4,4,4.5,2,1,嘉堂信雄,61.5,障3300,良,3:39.7,0.0,3-3-1-1,108.0-38.7,13.3,476(+6),(メジロシンドウ),"3,344.8"
18,1997/12/13,5中山5,晴,9,中山大障害(秋)(G),7,1,1,2.8,2,1,嘉堂信雄,59,障4100,良,4:45.5,-0.2,1-2-2-2,109.0-39.9,13.9,470(-6),(ポレール),"5,726.6"
19,1997/11/15,5京都5,晴,9,京都大障害(秋)(G),10,7,7,24.7,6,2,嘉堂信雄,59,障3930,良,4:26.5,0.1,1-1-1-1,107.0-40.6,13.6,476(+4),アワパラゴン,"1,510.4"
